Ticker,Name,Tot Assets LF,Debt/Assets LF,ROA LF,Curr Ratio LF,EBIT T12M,R&D Exp T12M,CAPEX T12M
 ,Investable Universe (957),2860000000,17720,3654.89,4.83,339650000,241180000,-129670000
,,,,,,,,
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , 
DDD US Equity,3D SYSTEMS CORP,822763008,12.3863,-8.4839,2.2889,-59424000,87164000,-30636000
2448602D US Equity,6D GLOBAL TECHNOLOGIES INC,20871828,4.7517,-123.2981,2.688,-7994636,0,-273859
EGHT US Equity,8X8 INC,666609984,45.4456,-26.0384,2.4496,-123515000,72705000,-41931000
ATEN US Equity,A10 NETWORKS INC,228947008,1.917,-8.5855,2.372,-19595000,61850000,-4484000
ABBY US Equity,ABBY INC,0, , ,0, , , 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , 
ACIA US Equity,ACACIA COMMUNICATIONS INC,705044992,2.9412,4.4482,3.9107,16915000,117503000,-12484000
AECX US Equity,ACADIA ENERGY CORP, , , , , , , 
ACNV US Equity,ACCELERA INNOVATIONS INC,5389,19511.5059,-21007.5527,0,-522445,0,0
AWWC US Equity,ACCESS WORLDWIDE COMM INC,13061639,27.0163,-30.3457,1.0752,-3931561, , 
ACIW US Equity,ACI WORLDWIDE INC,3340755968,44.034,3.7282,1.3674,137757000,144941000,-20570000
ACMR US Equity,ACM RESEARCH INC-CLASS A,180216000,11.0257,12.785,2.9147,16582000,13754000,-1064000
ACFN US Equity,ACORN ENERGY INC,4482000,3.1905,-17.7453,1.0059,-819000,563000,0
ADEA US Equity,ADEIA INC,1038147968,38.9378,3.3281,8.0895,39998000,109644000,-8843000
ADBE US Equity,ADOBE INC,20762400768,19.9315,14.9344,0.7929,3268120000,1930228032,-394480000
ADTN US Equity,ADTRAN HOLDINGS INC,579875008,3.2286,-8.1069,2.7312,-29676000,126638000,-8423000
9990711D US Equity,ADTRAN INC, , , , , , , 
AMD US Equity,ADVANCED MICRO DEVICES,5253000192,21.1498,4.3542,2.0987,311000000,1523000000,-216000000
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , 
ADVCD US Equity,ADVANT-E CORPORATION,6177458,0,30.7908,3.0582,3031419, ,-113069
AEHR US Equity,AEHR TEST SYSTEMS,22025000,12.2225,-15.9228,4.0293,-3987000,3929000,-139000
AGHC US Equity,AEON GLOBAL HEALTH CORP,3911096,79.6099,-107.1503,0.3585,-2950074,0,-10510
AERS US Equity,AERIUS INC, , , , , , , 
AFTM US Equity,AFTERMASTER INC,890247,739.7666,-805.5914,0.0425,-3817167,3023,-1907
AIFS US Equity,AGENT INFORMATION SOFTWARE I, , , , , , , 
AGYS US Equity,AGILYSYS INC,163795008,9.0729,-7.6428,1.3767,-12059000,41426000,-3925000
AJX CN Equity,AGJUNCTION INC,43526000,3.2463,0.1155,4.3046,-2385000,6794000,-552000
AIRG US Equity,AIRGAIN INC,55140000,0,4.0158,6.0625,1589130,9101348,-1282868
2554116D US Equity,AIRSPAN NETWORKS INC,69911000,20.3158,-54.1265,1.477,-37559000,24136000,-1938000
AKAM US Equity,AKAMAI TECHNOLOGIES INC,6357433856,34.7177,7.7287,3.7408,533883984,252809000,-542183992
AKTSQ US Equity,AKOUSTIS TECHNOLOGIES INC,42323000,47.0383,-92.367,9.0111,-28543455,19918818,-5281289
ALAN US Equity,ALANCO TECHNOLOGIES INC,3407200,22.0122,-51.0261,0.0245,-1750100,0,-5000
ALMY US Equity,ALCHEMY CREATIVE INC, , , , , , , 
RIME US Equity,ALGORHYTHM HOLDINGS INC,38981228,13.8471,0.524,1.2106,465933,50000,-213187
ALJJ US Equity,ALJ REGIONAL HOLDINGS INC/OL,231176992,42.073,-6.9077,1.2845,4638000,0,-18295000
ADGL US Equity,ALLDIGITAL HOLDINGS INC,1516803,146.259,-163.3461,1.4001,-1807460,0, 
ADSV US Equity,ALLIED SECURITY INNOVATIONS,835739,1274.8563,173.4423,0.0195,-296084,90271,0
