Ticker,Name,Tot Assets LF,Debt/Assets LF,ROA LF,Curr Ratio LF,EBIT T12M,R&D Exp T12M,CAPEX T12M
 ,Investable Universe (976),3630000000,9180,2740.03,3.18,486970000,330020000,-180260000
,,,,,,,,
ONEM US Equity,1LIFE HEALTHCARE INC,2502771968,25.783,-15.0465,2.0946,-403163000, ,-74524000
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , 
DDD US Equity,3D SYSTEMS CORP,1431369984,34.8665,-8.4842,5.6786,-92817000,82343000,-27211000
2448602D US Equity,6D GLOBAL TECHNOLOGIES INC,20871828,4.7517,-123.2981,2.688,-7994636,0,-273859
EGHT US Equity,8X8 INC,855940992,69.8431,-16.5931,1.5603,-129901000,129471000,-16709000
ATEN US Equity,A10 NETWORKS INC,352660992,6.4155,10.8941,1.943,48658000,54509000,-10045000
ABBY US Equity,ABBY INC,0, , ,0, , , 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , 
AECX US Equity,ACADIA ENERGY CORP, , , , , , , 
ACNV US Equity,ACCELERA INNOVATIONS INC,5389,19511.5059,-21007.5527,0,-522445,0,0
AWWC US Equity,ACCESS WORLDWIDE COMM INC,13061639,27.0163,-30.3457,1.0752,-3931561, , 
ACIW US Equity,ACI WORLDWIDE INC,3263140096,33.216,5.0071,1.2134,218416000,153867000,-19394000
ACMR US Equity,ACM RESEARCH INC-CLASS A,1147666048,6.4832,5.3203,2.8103,61491000,57305000,-22511000
ACFN US Equity,ACORN ENERGY INC,6074000,5.9928,-10.4257,0.8827,-618000,844000,0
ACVA US Equity,ACV AUCTIONS INC-A,899873984,8.3874,-11.062,2.2906,-104610000, ,-16141000
ADEA US Equity,ADEIA INC,2160727040,39.5002,-16.3991,2.4577,-312163000,253709000,-18228000
ADBE US Equity,ADOBE INC,27164999680,17.055,17.4834,1.1068,6097999872,2987000000,-442000000
ADTN US Equity,ADTRAN HOLDINGS INC,1838054016,7.7462,-3.7653,1.6668,-47191000,138719000,-12238000
AMD US Equity,ADVANCED MICRO DEVICES,67811000320,4.2618,5.7571,2.1551,2620000064,4450000064,-412000000
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , 
ADVCD US Equity,ADVANT-E CORPORATION,6177458,0,30.7908,3.0582,3031419, ,-113069
AEHR US Equity,AEHR TEST SYSTEMS,61578000,1.3219,21.8348,5.9934,9251000,5995000,-441000
ALMU US Equity,AELUMA INC,154190,0,-17.4486,0.259,-11670, ,-106228
AERS US Equity,AERIUS INC, , , , , , , 
AFTM US Equity,AFTERMASTER INC,768950,1010.3602,-1944.3494,0.02,-2921285,0,0
AIFS US Equity,AGENT INFORMATION SOFTWARE I,6179786,0, ,1.81, , , 
AGILQ US Equity,AGILETHOUGHT INC,213282000,38.7515,-14.0075,0.9203,-23412000, ,-865000
AGYS US Equity,AGILYSYS INC,220766000,7.2425,4.9596,2.1985,9117000,47601000,-1208000
AIRG US Equity,AIRGAIN INC,58293000,4.5803,-15.8215,2.0876,-9766000,11895000,-828000
MIMOQ US Equity,AIRSPAN NETWORKS HOLDINGS IN,138367008, ,-66.2617,0.5127,-88509040,94065000,-3902000
AKAM US Equity,AKAMAI TECHNOLOGIES INC,8107368960,38.8946,6.4305,2.2517,704884000,379225000,-457209000
AKTSQ US Equity,AKOUSTIS TECHNOLOGIES INC,144662000,31.0316,-49.351,5.7462,-65637000,37831000,-27139000
ALAN US Equity,ALANCO TECHNOLOGIES INC,3407200,22.0122,-51.0261,0.0245,-1750100,0,-5000
ALMY US Equity,ALCHEMY CREATIVE INC, , , , , , , 
ALFIQ US Equity,ALFI INC,11373005,0,-292.9477,2.2531,-18186236,0,-5603802
RIME US Equity,ALGORHYTHM HOLDINGS INC,33359798,11.8491,-0.1772,1.6964,540450,108000,-127775
ALHC US Equity,ALIGNMENT HEALTHCARE INC,777542976,21.2381,-19.586,2.0342,-119999000, ,-22661000
ALJJ US Equity,ALJ REGIONAL HOLDINGS INC/OL,218304992,13.7061,66.9559,4.7825,107014000, , 
ALKT US Equity,ALKAMI TECHNOLOGY INC,485284992,17.4207,-14.4972,6.3768,-65231000,61876000,-1626000
ADGL US Equity,ALLDIGITAL HOLDINGS INC,1516803,146.259,-163.3461,1.4001,-1807460,0, 
ALGM US Equity,ALLEGRO MICROSYSTEMS INC,979801984,4.3721,13.3942,4.8378,140429000,132153000,-71340000
ADSV US Equity,ALLIED SECURITY INNOVATIONS,835739,1274.8563,173.4423,0.0195,-296084,90271,0
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,1311437952,7.8731,39.5792,2.2434,102623000,74836000,-153281000
ALTR US Equity,ALTAIR ENGINEERING INC - A,1124928000,30.1015,-5.3184,2.3465,-6906000,176529000,-7759000
AYX US Equity,ALTERYX INC - CLASS A,1424028032,67.6251,-22.3887,1.6011,-286383000,198805000,-39230000
ATGN US Equity,ALTIGEN COMMUNICATIONS INC,17705000,3.4792,-4.0009,1.9441,-580000,4651000, 
AMBA US Equity,AMBARELLA INC,687457024,1.356,-9.6114,3.6861,-63152000,200435000,-16467000
DOX US Equity,AMDOCS LTD,6390392832,12.9387,8.518,1.5991,664797008,354706000,-227219000
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, , , , , , , 
AGIN US Equity,AMERICAN GRAPHITE TECHNOLOGI,17842,0,-176.8604,0.5609,-480270,0,0
AMWK US Equity,AMERISTAR NETWORK INC, , , , , , , 
ATVK US Equity,AMERITEK VENTURES,13356,3233.1462,-1140.2648,0.0178,-411421,0,0
AMST US Equity,AMESITE INC,9389809,0,-76.3985,11.1722,-8260357,2744629,-13689
AMJT US Equity,AMJ GLOBAL TECHNOLOGY,21700,5.4286, ,18.4211, , , 
AMKR US Equity,AMKOR TECHNOLOGY INC,6693923840,19.7623,13.1262,1.7892,924512992,147248000,-863855984
AMPG US Equity,AMPLITECH GROUP INC,37507264,12.9787,-7.4991,9.2231,-2781100,2582125,-811806
AMPL US Equity,AMPLITUDE INC-CLASS A,428260992,2.6918,-21.77,2.5021,-92249000,72626000,-5675000
ASYS US Equity,AMTECH SYSTEMS INC,133534000,8.9071,13.8688,4.5495,17286000,6390000,-1135000
ANDI US Equity,ANDIAMO CORP, , , , , , , 
ANDR US Equity,ANDREA ELECTRONICS CORP,1034882,270.133,-19.6202,1.5755,-275747,506037, 
ANSS US Equity,ANSYS INC,6161639936,14.3322,7.7277,2.3781,571405000,423760000,-20112000
ATEX US Equity,ANTERIX INC,255935008,1.9497,-18.9364,2.7365,-46911000,3736000,-1989000
AAQL US Equity,ANTIAGING QUANTUM LIVING INC,1998,0,-178.4842,0.0176, , , 
APPF US Equity,APPFOLIO INC - A,384881984,14.8248,-12.5589,3.0606,-59760000,99557000,-8880000
APGTQ US Equity,APPGATE INC,179774000,1.4958,-36.6848,2.0429,-49876000,10727000,-920000
APPN US Equity,APPIAN CORP-A,454560000,13.2313,-30.002,1.3279,-130333000,127759000,-9446000
AAPL US Equity,APPLE INC,352754991104,37.5558,28.3629,0.8794,119436998656,26250999808,-10707999872
AMAT US Equity,APPLIED MATERIALS INC,26726000640,21.8102,24.833,2.1582,7788000000,2771000000,-787000000
AAOI US Equity,APPLIED OPTOELECTRONICS INC,414343008,36.4553,-13.8413,1.4348,-54260000,36249000,-4876000
AUVIQ US Equity,APPLIED UV INC,38525992,4.9346, ,2.8767,-7296734,53408,-14735
ALDS US Equity,APPLIFE DIGITAL SOLUTIONS IN,301126,152.2393,-737.2889,0.2469,-2769776,0,0
ASFT US Equity,APPSOFT TECHNOLOGIES INC,13,2482623,-192082.3594,0.0003,-26481,0,0
APTY US Equity,APT SYSTEMS INC,145430,132.1983,-765.4672,0.1179,-453354,0,0
AHCD US Equity,ARCHIVALCD INC, , , , , , , 
ANET US Equity,ARISTA NETWORKS INC,6162010112,0.7638,20.0813,4.0096,1323975008,695850016,-43465000
ARLO US Equity,ARLO TECHNOLOGIES INC,331216000,6.1105,-12.4185,1.3788,-41684000,63896000,-1145000
ARMM US Equity,ARMM INC,998455,25.0387, ,0.6565, , , 
3664 TT Equity,ARRAY INC,756275968,6.6105,-19.6229,2.1831,-136465000,100685000,-2761000
ARW US Equity,ARROW ELECTRONICS INC,20505729024,18.4902,7.6375,1.5004,2057830016,0,-75546000
AIP US Equity,ARTERIS INC,120443000,2.3347,-28.6606,2.5098,-21765000,30812000,-808000
ARTD US Equity,ARTISTDIRECT INC,4196000,65.1811,-124.7979,0.6119,-5697000,398000,-101000
ASAN US Equity,ASANA INC - CL A,953008000,27.0743,-48.158,2.1127,-395675000,276862000,-4424000
ASGN US Equity,ASGN INC,3611200000,31.61,8.2208,2.275,414600000,0,-36100000
AZPN US Equity,ASPEN TECHNOLOGY INC,14971403264,2.2554,0.2898,3.2441, , , 
APYI US Equity,ASPYRA INC,14632753,31.427,-41.6156,0.1914,-4616055,1782590,-38817
ASTO US Equity,ASTRO COMMUNICATIONS INC, , , , , , , 
ALOT US Equity,ASTRONOVA INC,139828992,25.2258,0.422,1.9566,3118000,6569000,-511000
ASUR US Equity,ASURE SOFTWARE INC,391124000,11.0003,-4.5227,1.0252,-14828000,5961000,-6429000
ATYG US Equity,ATLAS TECHNOLOGY GROUP INC,2278610,0,-367.6791,0.0819,-3689078,1380491, 
ATOM US Equity,ATOMERA INC,29359000,17.5619,-50.2362,8.4936,-17193000,9764000,-33000
AUUD US Equity,AUDDIA INC,5202340,0,-80.6655,2.3245,-6775030,636528,-21738
AEYE US Equity,AUDIOEYE INC,25597000,5.4889,-48.2908,1.2153,-13507000,5831000,-140000
