Ticker,Name,Tot Assets LF,Debt/Assets LF,ROA LF,Curr Ratio LF,EBIT T12M,R&D Exp T12M,CAPEX T12M
 ,Investable Universe (997),2680000000,6330,3584.19,5.94,354570000,216300000,-130800000
,,,,,,,,
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , 
DDD US Equity,3D SYSTEMS CORP,810969984,0.8896,-6.2337,2.2867,-41907000,94755000,-38132000
MLOVE FP Equity,4SERVICE CLOUD TECH AG, , , , , , , 
BARZ US Equity,5BARZ INTERNATIONAL INC,4559887,34.6561,-157.1561,0.0802,-8553617,2826267, 
2448602D US Equity,6D GLOBAL TECHNOLOGIES INC,20871828,4.7517,-123.2981,2.688,-7994636,0,-273859
EGHT US Equity,8X8 INC,309632000,0,-41.5353,2.6459,-69947000,45586000,-26704000
ATEN US Equity,A10 NETWORKS INC,224794000,0,-9.9084,2.2336,-21115000,63336000,-3763000
ABBY US Equity,ABBY INC,0, , ,0, , , 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , 
ACIA US Equity,ACACIA COMMUNICATIONS INC,605377984,0,-4.0955,6.3967,-13835000,97911000,-15368000
AECX US Equity,ACADIA ENERGY CORP, , , , , , , 
ACNV US Equity,ACCELERA INNOVATIONS INC,5389,19511.5059,-21007.5527,0,-522445,0,0
AWWC US Equity,ACCESS WORLDWIDE COMM INC,13061639,27.0163,-30.3457,1.0752,-3931561, , 
ACIW US Equity,ACI WORLDWIDE INC,1984323968,34.0128,0.7578,1.6558,117534000,141393000,-23585000
ACMR US Equity,ACM RESEARCH INC-CLASS A,89413000,11.3664,10.1974,2.3752,7595000,8286000,-2100000
ACFN US Equity,ACORN ENERGY INC,4557000,4.3669,-35.9343,0.9079,-1678000,527000,0
ADEA US Equity,ADEIA INC,1139776000,42.2516,-6.9128,7.3584,-55863000,103558000,-3287000
ADBE US Equity,ADOBE INC,18768683008,21.977,15.5582,1.1292,2840368960,1537812000,-266579000
ADTN US Equity,ADTRAN HOLDINGS INC,648830016,3.9456,-3.2736,2.8214,-45700000,124910000,-8111000
9990711D US Equity,ADTRAN INC, , , , , , , 
AMD US Equity,ADVANCED MICRO DEVICES,4346999808,29.9747,7.0591,1.7646,505000000,1363000000,-166000000
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , 
ADVCD US Equity,ADVANT-E CORPORATION,6177458,0,30.7908,3.0582,3031419, ,-113069
AEHR US Equity,AEHR TEST SYSTEMS,29888000,20.443,-3.243,2.5256,-699000,4342000,-472000
AGHC US Equity,AEON GLOBAL HEALTH CORP,10867392,28.651,-53.1237,0.4942,266171, ,-20070
AERS US Equity,AERIUS INC, , , , , , , 
1918511D US Equity,AEROHIVE NETWORKS INC,141959008,14.0886,-12.0945,1.5839,-15919000,34775000,-2214000
AFTM US Equity,AFTERMASTER INC,1354382,309.9873,-313.1105,0.1315,-4803413,16177,-4879
AGNUQ US Equity,AG&E HOLDINGS INC,4479000,51.3284,-44.7467,0.6481,-2400000,0,-35000
AIFS US Equity,AGENT INFORMATION SOFTWARE I, , , , , , , 
AGYS US Equity,AGILYSYS INC,153626000,0.0762,-4.9599,1.4831,-11305000,31742000,-9997000
AJX CN Equity,AGJUNCTION INC,44803000,0,-10.1843,3.0921,-5710000,9844000,-724000
AIRG US Equity,AIRGAIN INC,51338564,0.6493,-6.0891,5.6061,-4035492,8970806,-819139
2554116D US Equity,AIRSPAN NETWORKS INC,69911000,20.3158,-54.1265,1.477,-37559000,24136000,-1938000
2371225D US Equity,AIRTOUCH COMMUNICATIONS INC,4057619,24.2072,-150.1729,1.2306,-9277622,2146816,-87892
AKAM US Equity,AKAMAI TECHNOLOGIES INC,5363887104,28.8083,4.6972,2.0317,270114000,245496000,-395259000
