Ticker,Name,Tot Assets LF,Debt/Assets LF,ROA LF,Curr Ratio LF,EBIT T12M,R&D Exp T12M,CAPEX T12M
 ,Investable Universe (1132),1740000000,5990,3421.06,3.2,203030000,158290000,-73260000
,,,,,,,,
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , 
DDD US Equity,3D SYSTEMS CORP,1481508992,0.6004,-3.8579,3.3945,-71775000,92922000,-24008000
MLOVE FP Equity,4SERVICE CLOUD TECH AG, , , , , , , 
BARZ US Equity,5BARZ INTERNATIONAL INC,4735540,20.321,-204.2935,0.0553,-8334501,3495017,-111754
2448602D US Equity,6D GLOBAL TECHNOLOGIES INC,21411714,6.4541,27.198,3.5344,-4378801,0,-312653
EGHT US Equity,8X8 INC,298616000,0,-0.5733,6.3216,-717000,19742000,-6823000
ATEN US Equity,A10 NETWORKS INC,177959008,0,-26.443,2.2383,-45525000,56029000,-3278000
ABBY US Equity,ABBY INC,0, , ,0, , , 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , 
AECX US Equity,ACADIA ENERGY CORP, , , , , , , 
ACNV US Equity,ACCELERA INNOVATIONS INC,1073423,515.9773,-1361.5338,0.1665,-38063472, ,-3767
ACLP US Equity,ACCELPATH INC,4667859,18.6131,-113.1877,0.0492,-902126, ,0
AWWC US Equity,ACCESS WORLDWIDE COMM INC,13061639,27.0163,-30.3457,1.0752,-3931561, , 
ACMM US Equity,ACCOM INC,12334000,28.4904,-8.6624,1.0353,-1393000,6086000,-436000
ACIW US Equity,ACI WORLDWIDE INC,1744664064,44.9603,4.9365,1.0426,133246000,144193000,-25418000
ACMA US Equity,ACM CORP, , , , , , , 
ACFN US Equity,ACORN ENERGY INC,27658000,16.7185,-66.3987,0.9422,-3045000,1635000,-156000
ACTA US Equity,ACTUA CORP,504366016,0.2617,-6.6851,1.5243,-63102000,26726000,-5396000
1437361D US Equity,ADEIA MEDIA SOLUTIONS INC,1120498944,28.3132,2.3656,2.0795,66746000,104615000,-9983000
ADBE US Equity,ADOBE INC,11726472192,16.2643,5.593,2.1783,903094976,862730000,-184936000
ADTN US Equity,ADTRAN HOLDINGS INC,671854016,4.2866,3.1239,2.8096,14658000,133287000,-10937000
9990711D US Equity,ADTRAN INC, , , , , , , 
AMD US Equity,ADVANCED MICRO DEVICES,3228999936,69.9907,-24.4109,1.7019,-762000000,956000000,-86000000
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , 
ADVCD US Equity,ADVANT-E CORPORATION,6177458,0,30.7908,3.0582,3031419, ,-113069
AECS US Equity,AEC HOLDINGS CORP,468717,1.6001, ,90.44, , , 
AEHR US Equity,AEHR TEST SYSTEMS,14563000,26.2858,-41.9586,2.6807,-5245000,4165000,-118000
AGHC US Equity,AEON GLOBAL HEALTH CORP,4188000,75.6686,145.6031,0.294,-8249000,972000,-156000
AERS US Equity,AERIUS INC, , , , , , , 
1918511D US Equity,AEROHIVE NETWORKS INC,132115000,15.1383,-33.0817,2.4904,-44993000,33522000,-2752000
AFTM US Equity,AFTERMASTER INC,6068969,82.0268,-171.3195,0.7845,-6496146,0,-70115
AGNUQ US Equity,AG&E HOLDINGS INC,6556000,0,0.3939,8.6217,-229000, ,-3000
AIFS US Equity,AGENT INFORMATION SOFTWARE I, , , , , , , 
AGYS US Equity,AGILYSYS INC,169235008,0.1005,-5.5588,2.2844,-9876000,26312000,-21664000
AJX CN Equity,AGJUNCTION INC,42679396,0.0109,-30.7053,7.8915,-1395916,5468298,-300389
2554116D US Equity,AIRSPAN NETWORKS INC,69911000,20.3158,-54.1265,1.477,-37559000,24136000,-1938000
2371225D US Equity,AIRTOUCH COMMUNICATIONS INC,4057619,24.2072,-150.1729,1.2306,-9277622,2146816,-87892
AKAM US Equity,AKAMAI TECHNOLOGIES INC,4184808960,14.8003,8.2122,3.6475,479552000,143334000,-458465992
ALAN US Equity,ALANCO TECHNOLOGIES INC,4890500,0,-19.5595,2.1869,-1347900, ,-233000
ALMY US Equity,ALCHEMY CREATIVE INC, , , , , , , 
RIME US Equity,ALGORHYTHM HOLDINGS INC,31343240,27.2733,3.0683,1.1712,1917939,142301,-132104
EDGW US Equity,ALITHYA USA INC,102502000,0,1.2627,2.3207,3304000,0,-339000
ADGL US Equity,ALLDIGITAL HOLDINGS INC,1516803,146.259,-163.3461,1.4001,-1807460,0, 
AFOP US Equity,ALLIANCE FIBER OPTIC PRODUCT,102573000,0,15.077,5.049,20312000,4417000,-5057000
ADSV US Equity,ALLIED SECURITY INNOVATIONS,835739,1274.8563,173.4423,0.0195,-296084,90271,0
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,308537984,0.2522,-3.0754,2.88,-6313000,26443000,-25149000
ATGN US Equity,ALTIGEN COMMUNICATIONS INC,5515000,3.0175,10.9936,1.4089,654000,2953000,-4995000
AMBA US Equity,AMBARELLA INC,391292000,0,27.642,7.0944,92692000,75468000,-1533000
2557527D US Equity,AMBER ROAD INC,113799864,3.3164,-20.8508,1.1607,-21739534,14585735,-28697512
ABHI US Equity,AMBICOM HOLDINGS INC, , , , , , , 
DOX US Equity,AMDOCS LTD,5324652032,4.1317,8.4903,1.7442,515947992,254944000,-120503000
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, , , , , , , 
AGIN US Equity,AMERICAN GRAPHITE TECHNOLOGI,419624,0,-34.9966,7.7133,-181816,0,0
AMWK US Equity,AMERISTAR NETWORK INC, , , , , , , 
ATVK US Equity,AMERITEK VENTURES,148067,0, ,0,-16000,0,0
AMJT US Equity,AMJ GLOBAL TECHNOLOGY,21700,5.4286, ,18.4211, , , 
AMKR US Equity,AMKOR TECHNOLOGY INC,3647488000,39.4895,2.0903,1.4687,183885000,76422000,-591456000
AMPG US Equity,AMPLITECH GROUP INC,441407,6.1073, ,1.1565, , , 
ASYS US Equity,AMTECH SYSTEMS INC,125456000,7.4664,-7.2168,2.1768,-13523000,6919000, 
ANDI US Equity,ANDIAMO CORP, , , , , , , 
ANDR US Equity,ANDREA ELECTRONICS CORP,5485300,79.6584,-106.0253,2.0166,-5754455,744356,-23395
ANPL US Equity,ANPULO FOOD DEVELOPMENT INC, , , , , , , 
ANSS US Equity,ANSYS INC,2701565952,0,9.257,2.5373,350784000,169609000,-16160000
ATEX US Equity,ANTERIX INC,282373728,0,-7.4354,36.3514,-18989774,1205233,-10516297
APIC US Equity,APIGEE CORP,127949000,2.6159, ,2.0864,-46710000,32188000, 
AES BH Equity,APOLLO ENTERPRISE SOLUTION, , , , , , , 
APPF US Equity,APPFOLIO INC - A,94191000,0, ,2.594,-15601000,8906000,-2478000
APGTQ US Equity,APPGATE INC, , , , , , , 
AAPL US Equity,APPLE INC,290479013888,22.1916,20.445,1.1088,71230000128,8067000064,-11246999808
AMAT US Equity,APPLIED MATERIALS INC,15308000256,29.6708,9.6693,2.4384,1693000000,1451000000,-215000000
AMCC US Equity,APPLIED MICRO CIRCUITS CORP,151340000,0,-26.1817,4.4247,-46102000,93332000,-3559000
AAOI US Equity,APPLIED OPTOELECTRONICS INC,256948992,19.1591,4.1477,2.4509,12011000,19113000,-48288000
ATHYQ US Equity,APPLIEDTHEORY CORPORATION,130246000,34.0463,-49.4042,0.7984,-42109000,2269999.9688,-2032000
APPG US Equity,APPTIGO INTERNATIONAL INC,51804,1268.5894,-871.5961,0.0031,-1975177,891619,-3492
2054374D US Equity,APPYEA INC/SD, , , , , , , 
APTY US Equity,APT SYSTEMS INC,5357,1344.6705,-1574.0251,0.0102,-132325,0,0
AQNM US Equity,AQUENTIUM INC,164,94428.6563,-8891.335,0.0005,-329292,0,0
AHCD US Equity,ARCHIVALCD INC, , , , , , , 
ASNT US Equity,ARIAS INTEL CORP, , , , , , , 
ANET US Equity,ARISTA NETWORKS INC,1072892032,4.3298,12.2639,4.0944,138913000,196379000,-16319000
3664 TT Equity,ARRAY INC,1747155968,0,5.7293,5.262,-145845000,287154000,-18441000
