Ticker,Name,Tot Assets LF,Debt/Assets LF,ROA LF,Curr Ratio LF,EBIT T12M,R&D Exp T12M,CAPEX T12M
ANPL US Equity,ANPULO FOOD DEVELOPMENT INC, , , , , , , 
ANSS US Equity,ANSYS INC,2846012928,0,9.9222,2.421,387015000,199084000,-19039000
ATEX US Equity,ANTERIX INC,232939008,0.2134,-15.2427,27.6801,-29936172,2301156, 
AES BH Equity,APOLLO ENTERPRISE SOLUTION, , , , , , , 
APPF US Equity,APPFOLIO INC - A,105747000,0,6.0075,2.1395,5656000,15105000,-2362000
APGTQ US Equity,APPGATE INC, , , , , , , 
APPN US Equity,APPIAN CORP-A,142326000,0, ,1.6765,-26697000,31936000, 
AAPL US Equity,APPLE INC,375319003136,30.8218,13.8739,1.2761,61344001024,11580999936,-12451000064
AMAT US Equity,APPLIED MATERIALS INC,19419000832,27.3135,20.2065,3.1392,3868000000,1774000000,-345000000
AAOI US Equity,APPLIED OPTOELECTRONICS INC,438704000,9.3478,21.5442,2.9921,92475000,31903000,-56930000
ASFT US Equity,APPSOFT TECHNOLOGIES INC,75217,122.5906,-335.35,0.0131,-290426, ,0
APPG US Equity,APPTIGO INTERNATIONAL INC,53254,2115.9275,-7203.1689,0.0007,-1147683,337,-6526
2054374D US Equity,APPYEA INC/SD, , , , , , , 
APTY US Equity,APT SYSTEMS INC,145430,132.1983,-765.4672,0.1179,-453354,0,0
AHCD US Equity,ARCHIVALCD INC, , , , , , , 
ASNT US Equity,ARIAS INTEL CORP, , , , , , , 
ANET US Equity,ARISTA NETWORKS INC,2301710080,1.6596,19.7944,3.657,408379000,313812000,-17791000
3664 TT Equity,ARRAY INC,1265296000,0,-5.3361,2.6392,131779008, ,-5754000
ARRAF US Equity,ARRIA NLG PLC,27607000,18.3468,-47.048,1.9304,-10518000,827000,-74000
ARRS US Equity,ARRIS INTERNATIONAL LTD,7664287232,28.7261,0.9228,1.8279,117671000,531112000,-88503000
ARW US Equity,ARROW ELECTRONICS INC,15056965632,21.1408,3.6432,1.5818,912435008,0,-187951000
ARTD US Equity,ARTISTDIRECT INC,4196000,65.1811,-124.7979,0.6119,-5697000,398000,-101000
ASNL US Equity,ASANTE TECHNOLOGIES INC,5546000, ,-34.2195,1.6931,-2036000,2224000,-18000.0001
ALLRZ US Equity,ASG TECHNOLOGIES GROUP INC, , , , , , , 
2061517D US Equity,ASPEN TECHNOLOGY INC,202723008,69.0598,65.7446,0.2372,210599000,80387000,-2364000
APYI US Equity,ASPYRA INC,14632753,31.427,-41.6156,0.1914,-4616055,1782590,-38817
AMNW US Equity,ASSURANCE GROUP INC,0, , ,0, , , 
ATEA US Equity,ASTEA INTL INC,12347000,22.0539, ,0.5454,1496000,1437000,-17000
ASTO US Equity,ASTRO COMMUNICATIONS INC, , , , , , , 
ALOT US Equity,ASTRONOVA INC,110320000,28.8261,3.5452,3.2734,4433000,6976000,-2060000
ASUR US Equity,ASURE SOFTWARE INC,182336992,41.5187,-3.311,1.3862,-499000,3168000,-1250000
1885807D US Equity,ATHENAHEALTH INC,1284300032,21.5215,2.5666,1.6678,44300000,174400000,-82933000
ATYG US Equity,ATLAS TECHNOLOGY GROUP INC,2278610,0,-367.6791,0.0819,-3689078,1380491, 
ATOM US Equity,ATOMERA INC,19806000,0,-57.6021,22.8979,-14008000,5742000,-20000
SYNT US Equity,ATOS SYNTEL INC,461030016,84.1561,15.8675,2.0718,230326000,0,-8767000
AEYE US Equity,AUDIOEYE INC,4503278,0.4786,-79.4397,0.3776,-3991240,226580,-22904
AURZ US Equity,AURIOS INC, , , , , , , 
AHRO US Equity,AUTHENTIC HOLDINGS INC,13357,1705.8097,-3852.1284,0.0078,-1329554,0,0
AUID US Equity,AUTHID INC, , , , , , , 
AVYAQ US Equity,AVAYA HOLDINGS CORP,5897999872,12.2923,-3.1743,0.9487,149000000,229000000, 
AVNW US Equity,AVIAT NETWORKS INC,152214000,5.9127,-0.558,1.443,714000,18539000,-4076000
AVID US Equity,AVID TECHNOLOGY INC,225250000,87.1796,-3.0535,0.6496,11416000,70677000,-7454000
AVSR US Equity,AVISTAR COMMUNICATIONS CORP,3259000,276.1583,-137.0459,0.1697,-5221000,5410000,-135000
AVT US Equity,AVNET INC,9773158400,17.2988,4.9448,2.7826,401841000,0,-112327000
AVX US Equity,AVX CORP,2549915904,0,5.4425,8.5346,183236000, ,-77221000
ACLS US Equity,AXCELIS TECHNOLOGIES INC,383104992,0,11.6407,4.2693,42943000,40949000,-7155000
AXTI US Equity,AXT INC,199622000,0.0721,5.235,7.2398,11223000,4984000,-17085000
AXTC US Equity,AXTIVE CORP,5055761,117.9607,-96.1445,0.0868,-2482785, ,-99000.0001
SCDA US Equity,B-SCADA INC, , , , , , , 
BAND US Equity,BANDWIDTH INC-CLASS A,72550000,52.8601, ,1.1688, , , 
CUDA US Equity,BARRACUDA NETWORKS INC,476651008,0,2.0249,1.0789,15622000,76213000,-11182000
BRGS US Equity,BARRISTER GLOBAL SVCS NTWK,7673000,11.1951,-11.9478,1.3889,-1021000, ,-523000
BSSP US Equity,BASSLINE PRODUCTIONS INC,10952,3447.3521, ,0.0014, , , 
1624250D US Equity,BAZAARVOICE INC,292369984,0,-2.9899,1.2648,-6727000,39613000,-8820000
BLLI US Equity,BELL INDUSTRIES INC,29106000,59.0497,-0.2423,1.8181,1148000,0,-272000.002
BNEZ US Equity,BEN EZRA WEINSTEIN AND CO, , , , , , , 
BHE US Equity,BENCHMARK ELECTRONICS INC,2076706048,10.3322,3.1077,3.6024,79007000,0,-41385000
BNFT US Equity,BENEFITFOCUS INC,171220000,69.9527,-26.6228,1.0807,-14800000,50530000,-7995000
BGTK US Equity,BIG TOKEN INC, , , , , , , 
BSGC US Equity,BIGSTRING CORP,144798,178.8008,-139.9913,0.2002,-628194,627631,0
BKYI US Equity,BIO-KEY INTERNATIONAL INC,15020343,0,-34.4692,2.9218,-5269117,1753863,-204673
BRGX US Equity,BIOREGENX INC, , , , , , , 
BTGN US Equity,BITCOIN GENERATION INC,103,611443.6875, ,0, , , 
BKTI US Equity,BK TECHNOLOGIES CORP,46156000,0,1.6632,3.791,267000,4253000,-618000
9876577D US Equity,BK TECHNOLOGIES INC, , , , , , , 
BBBT US Equity,BLACK BIRD BIOTECH INC, , , , , , , 
BBOX US Equity,BLACK BOX CORP,439219008,29.4079,-4.8398,1.6718,-17807000,0,-5983000
BKI US Equity,BLACK KNIGHT INC,3750000128,41.12, ,1.8764, , , 
BLKB US Equity,BLACKBAUD INC,1146994048,29.4645,5.2662,0.6291,69316000,89544000,-38538000
BL US Equity,BLACKLINE INC,422123008,0,-12.097,1.4707,-38061000,23413000,-4145000
BRTI US Equity,BLACKRIDGE TECHNOLOGY INTERN, , , , , , , 
BCDS US Equity,BLAQCLOUDS INC,38067880,0,-3.8366,297.2433,-1473631, ,0
BDRL US Equity,BLONDER TONGUE LABORATORIES,15179000,38.4347,-6.5178,1.877,-279000,2520000, 
BKSD US Equity,BLUEPRINT TECHNOLOGIES INC, , , , , , , 
BOGN US Equity,BOGEN COMMUNICATIONS INTL,33390000,16.1725, ,1.2809, , , 
BAH US Equity,BOOZ ALLEN HAMILTON HOLDINGS,3529635072,52.3297,7.9528,1.4949,503235000,0,-75765000
BRRN US Equity,BORN INC, , , , , , , 
EPAY US Equity,BOTTOMLINE TECHNOLOGIES INC/,617558016,30.3261,-4.313,0.7267,-14617000,53882000,-21979000
BOX US Equity,BOX INC - CLASS A,466768992,18.1542,-34.9774,0.9968,-157927000,133492000,-6117000
BOXL US Equity,BOXLIGHT CORP - CLASS A,20274936,23.0164, ,0.6885, , , 
BVTK US Equity,BRAVATEK SOLUTIONS INC,45599,5657.6831,-1379.8767,0,-496963,29998,0
BLIN US Equity,BRIDGELINE DIGITAL INC,17573000,14.2264,-9.0762,1.1376,-1385000,1587000,-59000
BTSR US Equity,BRIGHTSTAR INFORMATION TECH,4813000,66.8398,-44.2698,0.387,-854000, ,0
AVGO US Equity,BROADCOM INC,54418001920,32.2467,3.4411,6.3854,2493000000,3292000000,-1069000000
BSFT US Equity,BROADSOFT INC,714166016,20.3509,-1.5458,2.6373,5254000,81627000,-20357000
BVSN US Equity,BROADVISION INC,14395000,0,-51.0864,3.4663,-10195000,6574000,-9000
BSQR US Equity,BSQUARE CORP,50247000,0,-11.3139,3.1371,-6431000,5216000,-366000
BIQ AU Equity,BUILDINGIQ INC-CDI,15214694,0,-28.0547,3.6992,-5436795,908129,-184088
BZWR US Equity,BUSINESS WARRIOR CORP,354000,14.1243, ,1.6226, , , 
2326248D US Equity,CA INC,12312999936,22.6184,6.3217,1.2351,1068000000,621000000,-53000000
CACI US Equity,CACI INTERNATIONAL INC -CL A,3966012928,29.48,4.2917,1.5318,294907000,0,-39545000
CDNS US Equity,CADENCE DESIGN SYS INC,2305227008,27.9428,11.4249,1.7901,295794000,782270992,-50936000
CSOC US Equity,CADUCEUS SOFTWARE SYSTEMS CO,0, , ,0,-116086, ,0
CNO CN Equity,CALIFORNIA NANOTECHNOLOGIES,896409,57.3541,-41.4269,0.065,-204086,27500,-351232
CALX US Equity,CALIX INC,319641984,9.3855,-25.3734,1.2615,-81028000,130335000,-11261000
CALD US Equity,CALLIDUS SOFTWARE INC,408224992,0,-5.9595,1.6212,-21853000,36136000,-19946000
CLWA US Equity,CALLWAVE INC,54374000,0,1.6942,10.6748,-8346999.9375,5218000,-906000
CBEX US Equity,CAMBEX CORP,314261,136.7153,76.2247,0.1059,-671331,850711,0
CTLP US Equity,CANTALOUPE INC,135219008,7.9493,-4.691,2.6727,533000, ,-4223000
CAPC US Equity,CAPSTONE COMPANIES INC,10434614,6.5971,19.031,2.6106,3794687,318734,-85596
CBRJ US Equity,CARBON RACE CORP,7400,2400,-3488.4395,0,-1660000,0,-9000
CARB US Equity,CARBONITE INC,307201984,35.9028,-1.3822,1.1204,-12782000,42061000,-14811000
CXCQ US Equity,CARDXX INC, , , , , , , 
CCLD US Equity,CARECLOUD INC,23947640,9.9557,-38.5643,1.1474,-7823859,1170422,-643517
CRVW US Equity,CAREVIEW COMMUNICATIONS INC,14325589,492.6147,-103.3866,3.6974,-6742693,1618684,-1265333
CRSM US Equity,CARSMARTT INC, , , , , , , 
CRTN US Equity,CARTESIAN INC,20460000,37.2239,-18.8605,1.1214,-4628000, ,-1014000
CASSQ US Equity,CASA SYSTEMS INC, , , , ,132509000,55909000,-5963000
CSLT US Equity,CASTLIGHT HEALTH INC-B,258202000,2.1003,-26.0228,1.9436,-61733000,49915000,-2391000
