Ticker,Name,Tot Assets LF,Debt/Assets LF,ROA LF,Curr Ratio LF,EBIT T12M,R&D Exp T12M,CAPEX T12M
 ,Investable Universe (1290),1020000000,5160,-5282.21,3.04,152500000,106130000,-46220000
,,,,,,,,
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , 
TOTG US Equity,2-TRACK GLOBAL INC,196754,195.6514,-242.4285,0.0507,-860072,334693,-5157
DDD US Equity,3D SYSTEMS CORP,306929984,2.5217,15.4289,2.4964,33892000,12483000,-2559000
BARZ US Equity,5BARZ INTERNATIONAL INC,2301194,4.7823,-50.8378,0.0009,-592470, ,-1059
EGHT US Equity,8X8 INC,61667000,0.1524,14.3807,1.7364,5922000,5269000,-2901000
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , 
ABVT US Equity,ABOVENET INC,876899968,6.2721,7.9418,1.3902,110000000, ,-156300000
AECX US Equity,ACADIA ENERGY CORP, , , , , , , 
ACLP US Equity,ACCELPATH INC,5510128,0.7314,-25.4736,0.8288,-2344010, ,-28500
AWWC US Equity,ACCESS WORLDWIDE COMM INC,13061639,27.0163,-30.3457,1.0752,-3931561, , 
ASWE US Equity,ACCESSIBLE SOFTWARE INC, , , , , , , 
AKYI US Equity,ACCESSKEYIP INC,617201,833.5204, ,0.0785, , , 
ACMM US Equity,ACCOM INC,12334000,28.4904,-8.6624,1.0353,-1393000,6086000,-436000
ACIW US Equity,ACI WORLDWIDE INC,614702016,12.201,8.2032,1.116,71987000,88112000,-10110000
ACMA US Equity,ACM CORP, , , , , , , 
APKT US Equity,ACME PACKET INC,478996992,0,12.4027,8.6436,78792000,46592000,-15582000
ACFN US Equity,ACORN ENERGY INC,86281000,1.3201,27.782,7.1927,-1966000, ,-558000
ACTA US Equity,ACTUA CORP,281406016,5.6555,3.5522,4.4729,-4500000,12391000,-4015000
BIRT US Equity,ACTUATE CORP,170395008,0,5.518,1.7255,18135000,24756000,-750000
ADBE US Equity,ADOBE INC,8991182848,16.8421,9.7225,3.0153,1099299040,738053024,-210294000
ADTN US Equity,ADTRAN HOLDINGS INC,801294976,5.8031,19.6537,4.7711,192880000,97612000,-12028000
9990711D US Equity,ADTRAN INC, , , , , , , 
AATI US Equity,ADVANCED ANALOGIC TECHNOLOGI,137235008,0,-12.5996,6.8072,-15948000,25768000,-2049000
AMD US Equity,ADVANCED MICRO DEVICES,5235999744,39.343,21.2186,1.8394,710000000,1447000000,-201000000
1806133D US Equity,ADVANCED PHOTONIX INC-CL A,27987000,14.4138,-5.5,2.7782,-1162000,6445000,-1353000
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , 
ADVCD US Equity,ADVANT-E CORPORATION,7289234,0,24.4561,2.5858,2601878, ,-56399
ADVS US Equity,ADVENT SOFTWARE INC,501582016,0,6.805,0.7319,44213000,54675000,-10102000
AECS US Equity,AEC HOLDINGS CORP,468717,1.6001, ,90.44, , , 
AGSI US Equity,AEGIS ASSESSMENTS INC,5591638,10.2621,-94.0147,0.1685,-1929593,0,-38272
AEHR US Equity,AEHR TEST SYSTEMS,12946000,0,-13.4508,3.8114,-4184000,4507000,-28000
AGHC US Equity,AEON GLOBAL HEALTH CORP,9263000,0,-92.432,1.8875,-7431000,1029000,-758000
AERS US Equity,AERIUS INC, , , , , , , 
ARX US Equity,AEROFLEX HOLDING CORP,1351138944,53.5528,-2.5212,3.6191,50050000,92205000,-25962000
AFFI US Equity,AFFINITY TECHNOLOGY GROUP,59384,5288.7412,-508.7891,0.0108,-812050, ,0
AFTM US Equity,AFTERMASTER INC,2604162,33.7453,-323.946,0.242,-7250784, ,-223490
AGNUQ US Equity,AG&E HOLDINGS INC,23850000,10.587,0.1194,3.9333,143000, ,-192000
AIFS US Equity,AGENT INFORMATION SOFTWARE I, , , , , , , 
AGYS US Equity,AGILYSYS INC,215122000,0.7387,-14.6085,2.6068,-55688000, ,-4839000
AJX CN Equity,AGJUNCTION INC,87019848,0.2157,-2.6621,5.2292,-1866587,9921110,-1069247
ANSE US Equity,AINSLIE CORP, , , , , , , 
ABEW US Equity,AIRBEE WIRELESS INC,413314,807.7118,-683.6893,0.0288,-4387731,115564,-61278
2554116D US Equity,AIRSPAN NETWORKS INC,69911000,20.3158,-54.1265,1.477,-37559000,24136000,-1938000
2371225D US Equity,AIRTOUCH COMMUNICATIONS INC,9416000,0.1066, ,56.9809, , , 
ASYI US Equity,AISYSTEMS INC, , , , , , , 
AKAM US Equity,AKAMAI TECHNOLOGIES INC,2301957120,0,8.4708,6.6568,283659000,50917000,-184992000
ALAN US Equity,ALANCO TECHNOLOGIES INC,6119200,0.4576,7.4982,13.158,-571200, ,-2039300
ALMY US Equity,ALCHEMY CREATIVE INC, , , , , , , 
RIME US Equity,ALGORHYTHM HOLDINGS INC,17217000,9.6545,3.7797,0.9657,538111, ,-110369
EDGW US Equity,ALITHYA USA INC,51992000,0.1731,5.8076,1.8672,3694000,0,-463000
ADGL US Equity,ALLDIGITAL HOLDINGS INC,1504021,0, ,1.8756, , , 
AFOP US Equity,ALLIANCE FIBER OPTIC PRODUCT,70928000,0.3496,7.9172,6.8474,4964000,3113000,-2042000
ADSV US Equity,ALLIED SECURITY INNOVATIONS,835739,1274.8563,173.4423,0.0195,-296084,90271,0
AGMB US Equity,ALONG MOBILE TECHNOLOGIES IN,19858758,0,33.41,6.7664,5575886, ,-6706470
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,321446016,1.3424,10.6671,3.142,32326000,31662000,-43023000
1541931D US Equity,ALTERA CORP,4271810048,11.7046,22.4501,3.4,952337984,302227000,-29295000
ATGN US Equity,ALTIGEN COMMUNICATIONS INC,9904000,3.8671,-26.6568,1.3214,-2737000,6221000,-4995000
ABHI US Equity,AMBICOM HOLDINGS INC, , , , , , , 
DOX US Equity,AMDOCS LTD,4636572160,5.3919,7.3313,1.9574,404364000,221886000,-109779000
AANI US Equity,AMEDIA NETWORKS INC, , , , , , , 
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, , , , , , , 
AGIN US Equity,AMERICAN GRAPHITE TECHNOLOGI,1576,0, ,0.1563, , , 
ASVPQ US Equity,AMERICAN TONERSERVE CORP, , , , , , , 
AMWK US Equity,AMERISTAR NETWORK INC, , , , , , , 
INSF US Equity,AMETEK CTS US INC, , , , , , , 
AMKR US Equity,AMKOR TECHNOLOGY INC,2889387008,45.8907,4.1168,1.4659,236177000,49018000,-493345992
AMLJ US Equity,AML COMMUNICATIONS INC,18994000,4.2645,7.1776,5.7866,1876000,2188000,-448000
ASYS US Equity,AMTECH SYSTEMS INC,205864992,0,13.3826,2.1642,38280000,5784000,-5183000
ANLY US Equity,ANALYSTS INTERNATIONAL CORP,27574000,0,11.2509,2.5034,3770000, ,-1115000
ANDI US Equity,ANDIAMO CORP, , , , , , , 
ANDR US Equity,ANDREA ELECTRONICS CORP,5531011,0.1834,-8.7182,5.485,-629513,784351,-164284
AGCI US Equity,ANGELCITI ENTERTAINMENT INC,164667,0,-17.529,0,-30505, ,0
AGMS US Equity,ANGSTROM MICROSYSTEMS CORP,2206079,3.7371,-155.4397,0.127,-1699051, ,0
ANSS US Equity,ANSYS INC,2347905024,5.8868,8.1658,1.6863,257801000,102096000,-17629000
ANTS US Equity,ANTS SOFTWARE INC,27153232,7.0883,-167.4146,0.6636,-15682453,2583084,-50237
APHG US Equity,AP HENDERSON GROUP,30319,0, ,0.0228, , , 
APGTQ US Equity,APPGATE INC, , , , , , , 
AAPL US Equity,APPLE INC,116370997248,0,27.065,1.6084,33789999616,2429000000,-4259999936
AMCC US Equity,APPLIED MICRO CIRCUITS CORP,266072992,0,-4.7423,4.9274,-22204000,113593000,-13510000
ATHYQ US Equity,APPLIEDTHEORY CORPORATION,130246000,34.0463,-49.4042,0.7984,-42109000,2269999.9688,-2032000
AQNM US Equity,AQUENTIUM INC,0, , ,0,-315559, , 
AGUS US Equity,ARGUS INC, , , , , , , 
ARBA US Equity,ARIBA INC,913140992,0,4.0685,1.2638,-4426000,60468000,-28101000
AWYI US Equity,ARIEL WAY INC, , , , , , , 
3664 TT Equity,ARRAY INC,1562020992,0,3.8529,5.0444,31638000,181924000,-35006000
1367809D US Equity,ARRIS GROUP INC,1561949056,19.9795,7.6366,4.2265,100492000,71233000,-15072000
ARRS US Equity,ARRIS INTERNATIONAL LTD,1418226944,14.5833,3.718,7.3312,76777000,144161000,-24466000
ARW US Equity,ARROW ELECTRONICS INC,9868727296,22.5292,6.2722,1.6509,908455008, ,-117148000
ARTD US Equity,ARTISTDIRECT INC,4196000,65.1811,-124.7979,0.6119,-5697000,398000,-101000
ARUN US Equity,ARUBA NETWORKS LLC,527609984,0,16.193,3.3219,-3648000,92245000,-10468000
ASAL US Equity,ASA INTL LTD,18748498,17.8579,6.8838,2.4646,-708089, ,-796189
ASNL US Equity,ASANTE TECHNOLOGIES INC,5546000, ,-34.2195,1.6931,-2036000,2224000,-18000.0001
2061517D US Equity,ASPEN TECHNOLOGY INC,394056992,6.2958,3.6438,1.3873,-50493000,52014000,-4651000
ASP SS Equity,ASPIRO AB,226082000,0,-44.9053,1.4889,-139435000, ,-6512000
APYI US Equity,ASPYRA INC,14632753,31.427,-41.6156,0.1914,-4616055,1782590,-38817
AMNW US Equity,ASSURANCE GROUP INC,0, , ,0, , , 
ATEA US Equity,ASTEA INTL INC,13827000,0,10.7983,0.9902,1407000,3077000,-265000
ASTO US Equity,ASTRO COMMUNICATIONS INC, , , , , , , 
ALOT US Equity,ASTRONOVA INC,66171632,0,4.2613,6.8334,3747335,5198899,-1135137
ASUR US Equity,ASURE SOFTWARE INC,9893000,33.8623,0.7798,1.7741,72000,1495000,-70000
1885807D US Equity,ATHENAHEALTH INC,316617984,0,7.5319,3.8885,35987000,21291000,-11233000
AVZAQ US Equity,ATI LIQUIDATING INC,89365000,40.5886,-31.455,1.1529,-27560000,26553000,-4036000
ATYG US Equity,ATLAS TECHNOLOGY GROUP INC,2278610,0,-367.6791,0.0819,-3689078,1380491, 
SYNT US Equity,ATOS SYNTEL INC,604331008,0,19.2006,4.4229,115600000, ,-46450000
ATSC US Equity,ATS CORP/US,78777632,5.2387,6.0343,1.6165,8338198, ,-31783
AFLO US Equity,AUCTION FLOOR INC, , , , , , , 
ARUZQ US Equity,AURASOUND INC,34821496,0,1.5262,0.8389,1134358,843224,-643602
AURZ US Equity,AURIOS INC, , , , , , , 
1901522D US Equity,AUTHENTEC INC,68217000,0,-36.1087,2.2652,-20436000,24161000,-1063000
AHRO US Equity,AUTHENTIC HOLDINGS INC,15002,14024.21, ,0.0045,-174997,0,0
AVSM US Equity,AVATAR SYSTEMS INC, , , , , , , 
AVNW US Equity,AVIAT NETWORKS INC,365100000,3.9167,-19.4722,1.8092,-21900000,40700000,-8000000
AVID US Equity,AVID TECHNOLOGY INC,611164992,2.1271,-4.5191,1.657,-23048000,120267000,-11828000
2316317D US Equity,AVINCI MEDIA CORP,629857,51.368,-118.29,0.6763,-995895,506581.9922,-1683
AVSR US Equity,AVISTAR COMMUNICATIONS CORP,6602000,181.7631,-125.4262,0.4446,-5906000,5707000, 
AVT US Equity,AVNET INC,9782553600,19.5012,7.0203,1.7564,958580992, ,-156435000
AVX US Equity,AVX CORP,2381947904,0,11.086,7.9121,335333000,23569000,-43305000
ACLS US Equity,AXCELIS TECHNOLOGIES INC,272668992,0,4.3388,4.3448,12598000,46078000,-2592000
AXSI US Equity,AXCESS INTERNATIONAL INC,204138,2166.7827,-984.0391,0.0541,-2712453.9375,1059539,-626
AXST US Equity,AXESSTEL INC,13532494,0,-19.1419,0.5092,-821495,2049716,-10512
AXTI US Equity,AXT INC,161039008,0,15.8058,7.5799,29767000,2727000,-11919000
AXTC US Equity,AXTIVE CORP,5055761,117.9607,-96.1445,0.0868,-2482785, ,-99000.0001
SCDA US Equity,B-SCADA INC, , , , , , , 
BRGS US Equity,BARRISTER GLOBAL SVCS NTWK,7673000,11.1951,-11.9478,1.3889,-1021000, ,-523000
BSSP US Equity,BASSLINE PRODUCTIONS INC, , , , , , , 
BLLI US Equity,BELL INDUSTRIES INC,29106000,59.0497,-0.2423,1.8181,1148000,0,-272000.002
BNEZ US Equity,BEN EZRA WEINSTEIN AND CO, , , , , , , 
BHE US Equity,BENCHMARK ELECTRONICS INC,1484365056,0.7485,4.6088,3.6239,63237000, ,-56600000
BSGC US Equity,BIGSTRING CORP,391968,50.4633,277.6998,0.6842,-670160,435633,0
BKYI US Equity,BIO-KEY INTERNATIONAL INC,1617971,21.4113,-39.3112,0.8662,-979100,1084863,-56204
BAZH US Equity,BIOAUTHORIZE HOLDINGS INC, , , , , , , 
BRGX US Equity,BIOREGENX INC, , , , , , , 
ACCL US Equity,BIOVIA CORP,347516000,0,-5.7835,1.3773, , , 
BTGN US Equity,BITCOIN GENERATION INC,249297,217.0704,-2497.9055,0.2048,-3117642,0,0
BIZZ US Equity,BIZZINGO INC, , , , , , , 
