Ticker,Name,Tot Assets LF,Debt/Assets LF,ROA LF,Curr Ratio LF,EBIT T12M,R&D Exp T12M,CAPEX T12M
 ,Investable Universe (1033),2180000000,6790,3703.64,3.2,224870000,169840000,-92410000
,,,,,,,,
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , 
DDD US Equity,3D SYSTEMS CORP,862348032,0.9697,-54.6121,3.3609,-608414024,89705000,-16349000
MLOVE FP Equity,4SERVICE CLOUD TECH AG, , , , , , , 
BARZ US Equity,5BARZ INTERNATIONAL INC,4559887,34.6561,-157.1561,0.0802,-8553617,2826267, 
2448602D US Equity,6D GLOBAL TECHNOLOGIES INC,20871828,4.7517,-123.2981,2.688,-7994636,0,-273859
EGHT US Equity,8X8 INC,322032000,0.7453,-1.0495,5.0767,-6760000,25729000,-11836000
ATEN US Equity,A10 NETWORKS INC,205760000,0,-13.8174,2.0021,-26554000,58532000,-5175000
ABBY US Equity,ABBY INC,0, , ,0, , , 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , 
ACIA US Equity,ACACIA COMMUNICATIONS INC,351912000,0, ,3.5508,90351000,68486000, 
AECX US Equity,ACADIA ENERGY CORP, , , , , , , 
ACNV US Equity,ACCELERA INNOVATIONS INC,40337,2498.5547,-580.8152,0.0128,-2188970,0,0
ACLP US Equity,ACCELPATH INC,4667859,18.6131,-113.1877,0.0492,-902126, ,0
AWWC US Equity,ACCESS WORLDWIDE COMM INC,13061639,27.0163,-30.3457,1.0752,-3931561, , 
ACMM US Equity,ACCOM INC,12334000,28.4904,-8.6624,1.0353,-1393000,6086000,-436000
ACIW US Equity,ACI WORLDWIDE INC,1802185984,41.2087,6.0116,0.746,175206008,165371000,-42166000
ACMA US Equity,ACM CORP, , , , , , , 
ACFN US Equity,ACORN ENERGY INC,8599000,0.5466,-9.9953,0.4411,-4524000,1361000,-41000
ACTA US Equity,ACTUA CORP,420782016,0.3137,-19.3044,1.1237,-92341000,27704000,-2699000
ADBE US Equity,ADOBE INC,12707113984,14.9685,9.567,2.077,1493602016,975986992,-203805000
ADTN US Equity,ADTRAN HOLDINGS INC,655563008,4.2559,5.0286,3.1552,33263000,122027000,-16594000
9990711D US Equity,ADTRAN INC, , , , , , , 
AMD US Equity,ADVANCED MICRO DEVICES,3616000000,45.1327,-16.0117,1.9172,-418000000,973000000,-88000000
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , 
ADVCD US Equity,ADVANT-E CORPORATION,6177458,0,30.7908,3.0582,3031419, ,-113069
AECS US Equity,AEC HOLDINGS CORP,468717,1.6001, ,90.44, , , 
AEHR US Equity,AEHR TEST SYSTEMS,11336000,52.9817,-60.4965,1.7414,-7200000,4322000,-919000
AGHC US Equity,AEON GLOBAL HEALTH CORP,55161188,7.03,51.8778,1.2295,-4821154,411950,-1143196
AERS US Equity,AERIUS INC, , , , , , , 
1918511D US Equity,AEROHIVE NETWORKS INC,140176992,14.2677,-26.9505,1.6521,-36944000,41890000,-2001000
AFTM US Equity,AFTERMASTER INC,2048815,324.6706,-330.9016,0.1999,-8873558,453944,-322514
AGNUQ US Equity,AG&E HOLDINGS INC,3839000,0,-49.5623,6.3416,-2609000,0,0
AIFS US Equity,AGENT INFORMATION SOFTWARE I, , , , , , , 
AGYS US Equity,AGILYSYS INC,171364992,0.1663,-4.6436,1.7839,-8193000,27437000,-16833000
AJX CN Equity,AGJUNCTION INC,43966408,0,-58.1712,6.4107,-9074848,8628331,-491311
AIRG US Equity,AIRGAIN INC,28635252,6.1044, ,2.6698, , , 
2554116D US Equity,AIRSPAN NETWORKS INC,69911000,20.3158,-54.1265,1.477,-37559000,24136000,-1938000
