Ticker,Name,Tot Assets LF,Debt/Assets LF,ROA LF,Curr Ratio LF,EBIT T12M,R&D Exp T12M,CAPEX T12M
 ,Investable Universe (1171),1470000000,5950,3325.83,3.14,197230000,149350000,-76000000
,,,,,,,,
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , 
DDD US Equity,3D SYSTEMS CORP,1503240960,0.6582,1.6605,5.1403,40063000,69457000,-18027000
BARZ US Equity,5BARZ INTERNATIONAL INC,5097760,7.2787,-148.6463,0.1262,-8107509,3528039,-135292
EGHT US Equity,8X8 INC,307332992,0,-0.2374,9.758,829000,13559000,-4243000
ATEN US Equity,A10 NETWORKS INC,190350000,0, ,2.6286,-21194000,44139000, 
ABBY US Equity,ABBY INC,0, , ,0, , , 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , 
AECX US Equity,ACADIA ENERGY CORP, , , , , , , 
ACNV US Equity,ACCELERA INNOVATIONS INC,5186249,115.1121,-404.8828,2.8005,-9806548, ,0
ACLP US Equity,ACCELPATH INC,71830,1021.0678,-3590.6694,0.0056,-512649, ,0
AWWC US Equity,ACCESS WORLDWIDE COMM INC,13061639,27.0163,-30.3457,1.0752,-3931561, , 
ACMM US Equity,ACCOM INC,12334000,28.4904,-8.6624,1.0353,-1393000,6086000,-436000
ACIW US Equity,ACI WORLDWIDE INC,1822020992,51.9361,4.182,1.1512,144881000,146028000,-21377000
ACMA US Equity,ACM CORP, , , , , , , 
ACFN US Equity,ACORN ENERGY INC,39027000,12.6092,-46.5047,1.5282,-20141000,6980000,-1328000
ACTA US Equity,ACTUA CORP,498611008,0.1003,36.7266,7.1672,-53252000,13066000,-5144000
BIRT US Equity,ACTUATE CORP,168344992,0.196,-3.5926,1.7425,-7412000,25055000,-271000
1437361D US Equity,ADEIA MEDIA SOLUTIONS INC,1293629952,27.1357,1.8603,4.2523,51036000,103852000,-5593000
ADBE US Equity,ADOBE INC,10786136064,14.0395,2.3958,1.8334,393185000,844352992,-148332000
ADTN US Equity,ADTRAN HOLDINGS INC,750734016,3.9961,5.9566,2.9812,53771000,132488000,-9825000
9990711D US Equity,ADTRAN INC, , , , , , , 
AMD US Equity,ADVANCED MICRO DEVICES,4325000192,51.052,1.1571,1.9285,310000000,1127000000,-94000000
1806133D US Equity,ADVANCED PHOTONIX INC-CL A,20386000,16.1581,-15.7916,1.6119,-2781000,4309000,-175000
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , 
ADVCD US Equity,ADVANT-E CORPORATION,6177458,0,30.7908,3.0582,3031419, ,-113069
ADVS US Equity,ADVENT SOFTWARE INC,432881984,58.9075,10.4772,0.5699,79707000,69269000,-10300000
AECS US Equity,AEC HOLDINGS CORP,468717,1.6001, ,90.44, , , 
AEHR US Equity,AEHR TEST SYSTEMS,11415000,8.7604,-2.791,2.2643,-319000,3657000,-354000
AGHC US Equity,AEON GLOBAL HEALTH CORP,8566000,0,-74.7417,1.8521,-7449000,1237000,-341000
AERS US Equity,AERIUS INC, , , , , , , 
1918511D US Equity,AEROHIVE NETWORKS INC,145247008,13.5762,-29.4961,2.684,-28290000,27316000,-3100000
AFTM US Equity,AFTERMASTER INC,818655,646.5379,-751.08,0.0511,-3669783, ,-89431
AGNUQ US Equity,AG&E HOLDINGS INC,16803000,0,-25.2169,2.8604,-13000, ,-28000
AIFS US Equity,AGENT INFORMATION SOFTWARE I, , , , , , , 
AGYS US Equity,AGILYSYS INC,176596000,0.1761,-5.606,2.8267,-9928000,24624000,-19918000
AJX CN Equity,AGJUNCTION INC,60064804,0.0309,-0.2185,5.5689,158191,7847992,-419658
2554116D US Equity,AIRSPAN NETWORKS INC,69911000,20.3158,-54.1265,1.477,-37559000,24136000,-1938000
2371225D US Equity,AIRTOUCH COMMUNICATIONS INC,4057619,24.2072,-150.1729,1.2306,-9277622,2146816,-87892
AKAM US Equity,AKAMAI TECHNOLOGIES INC,3854290944,15.5696,9.413,3.8219,469193000,119389000,-288642000
ALAN US Equity,ALANCO TECHNOLOGIES INC,6620000,0,-1.9433,4.6302,-789300, ,-313600
ALMY US Equity,ALCHEMY CREATIVE INC, , , , , , , 
RIME US Equity,ALGORHYTHM HOLDINGS INC,28955200,3.8674,4.0397,1.1645,417436,217062,-93511
EDGW US Equity,ALITHYA USA INC,93426000,0,49.0369,2.7357,8317000,0,-214000
ADGL US Equity,ALLDIGITAL HOLDINGS INC,808949,9.642,-106.3256,0.8775,-1633612, , 
AFOP US Equity,ALLIANCE FIBER OPTIC PRODUCT,112483000,0,19.4285,4.9588,22415000,4249000, 
ADSV US Equity,ALLIED SECURITY INNOVATIONS,835739,1274.8563,173.4423,0.0195,-296084,90271,0
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,361420000,2.6803,-0.8501,3.2517,203000,24358000,-10162000
1541931D US Equity,ALTERA CORP,5781029888,25.8161,8.5264,5.5911,539640016,417499000,-46288000
ATGN US Equity,ALTIGEN COMMUNICATIONS INC,5385000,4.6425,-19.043,1.0621,-1032000,3433000,-4995000
AMBA US Equity,AMBARELLA INC,253278000,0,17.9177,5.7845,40444000,55005000,-1434000
2557527D US Equity,AMBER ROAD INC,104631712,3.362, ,1.703,-26027291,9170149, 
ABHI US Equity,AMBICOM HOLDINGS INC, , , , , , , 
DOX US Equity,AMDOCS LTD,5185276928,4.0499,8.3497,2.0187,495648000,257896000,-111569000
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, , , , , , , 
AGIN US Equity,AMERICAN GRAPHITE TECHNOLOGI,586766,0,-92.4975,14.7692,-427488, ,0
AMWK US Equity,AMERISTAR NETWORK INC, , , , , , , 
ATVK US Equity,AMERITEK VENTURES,0, , ,0,-51588, ,0
AMJT US Equity,AMJ GLOBAL TECHNOLOGY,21700,5.4286, ,18.4211, , , 
AMKR US Equity,AMKOR TECHNOLOGY INC,3759941120,40.8509,4.3458,1.3671,255146000,76925000,-606559992
AMPG US Equity,AMPLITECH GROUP INC,490092,64.2734, ,0.5221, , , 
ASYS US Equity,AMTECH SYSTEMS INC,89904000,0,-12.9917,1.9744,-13088000,6291000,-462000
ANDI US Equity,ANDIAMO CORP, , , , , , , 
ANDR US Equity,ANDREA ELECTRONICS CORP,4731041,12.7745,-53.9967,6.425,-1946209,714132,-8843
ANPL US Equity,ANPULO FOOD DEVELOPMENT INC, , , , , , , 
ANSS US Equity,ANSYS INC,2789038080,0,9.6531,2.6395,345654000,161131000,-35329000
AES BH Equity,APOLLO ENTERPRISE SOLUTION, , , , , , , 
APGTQ US Equity,APPGATE INC, , , , , , , 
AAPL US Equity,APPLE INC,231839006720,15.2239,18.0066,1.0801,52502999040,6041000064,-9570999680
AMAT US Equity,APPLIED MATERIALS INC,13173999616,14.7791,8.7719,2.4679,1520000000,1428000000,-241000000
AMCC US Equity,APPLIED MICRO CIRCUITS CORP,175147008,0,-4.9134,3.983,-7818000,113439000,-40677000
AAOI US Equity,APPLIED OPTOELECTRONICS INC,168154000,13.9111,2.5081,2.8385,3525000,14149000,-29676000
ATHYQ US Equity,APPLIEDTHEORY CORPORATION,130246000,34.0463,-49.4042,0.7984,-42109000,2269999.9688,-2032000
APPG US Equity,APPTIGO INTERNATIONAL INC,924109,0,-154.6789,2.1367,-732186,0,-46229
2054374D US Equity,APPYEA INC/SD, , , , , , , 
APTY US Equity,APT SYSTEMS INC,19082,262.027,-924.3046,0.0132,-162227,0,0
AQNM US Equity,AQUENTIUM INC,164,94428.6563,-8891.335,0.0005,-329292,0,0
AHCD US Equity,ARCHIVALCD INC, , , , , , , 
ASNT US Equity,ARIAS INTEL CORP, , , , , , , 
ANET US Equity,ARISTA NETWORKS INC,691883008,6.1905, ,5.7797,109016000,135917000, 
3664 TT Equity,ARRAY INC,1659127040,0,3.4357,4.264,-21085000,309228000,-15908000
ARRAF US Equity,ARRIA NLG PLC,27344000,0,-34.2423,1.2736,-9023000,487360,-29000
1367809D US Equity,ARRIS GROUP INC,1561949056,19.9795,7.6366,4.2265,100492000,71233000,-15072000
ARRS US Equity,ARRIS INTERNATIONAL LTD,4305244160,36.1105,2.961,1.6475,301122000,550546992,-59819000
ARW US Equity,ARROW ELECTRONICS INC,11311525888,19.7012,4.7671,1.7497,823161984, ,-118578000
ARTD US Equity,ARTISTDIRECT INC,4196000,65.1811,-124.7979,0.6119,-5697000,398000,-101000
ARUN US Equity,ARUBA NETWORKS LLC,664686976,0,-2.8218,2.1306,15567000,171117000,-20772000
ASAL US Equity,ASA INTL LTD,18748498,17.8579,6.8838,2.4646,-708089, ,-796189
ASTN US Equity,ASANTE NETWORKS INC,39896000,0, ,2.2122, , , 
ASNL US Equity,ASANTE TECHNOLOGIES INC,5546000, ,-34.2195,1.6931,-2036000,2224000,-18000.0001
2061517D US Equity,ASPEN TECHNOLOGY INC,378235008,0,26.7682,1.2721,149509000,68844000,-6589000
ASP SS Equity,ASPIRO AB,198372000,0,-33.1556,1.0548,-66034000, ,-1569000
APYI US Equity,ASPYRA INC,14632753,31.427,-41.6156,0.1914,-4616055,1782590,-38817
AMNW US Equity,ASSURANCE GROUP INC,0, , ,0, , , 
ATEA US Equity,ASTEA INTL INC,13631000,5.6416,-26.7408,0.527,-3535000,1536000,-67000
ASTO US Equity,ASTRO COMMUNICATIONS INC, , , , , , , 
ALOT US Equity,ASTRONOVA INC,81753000,0.0514,7.4924,6.5295,6623000,5869000,-1937000
ASUR US Equity,ASURE SOFTWARE INC,34844000,47.9566,-1.2996,0.5257,1779000,3144000,-587000
1885807D US Equity,ATHENAHEALTH INC,891590976,23.8338,-1.706,1.1655,-10358000,65981000,-67986000
ATYG US Equity,ATLAS TECHNOLOGY GROUP INC,2278610,0,-367.6791,0.0819,-3689078,1380491, 
SYNT US Equity,ATOS SYNTEL INC,1188594048,11.8195, ,7.6283,270350000, ,-19904000
AFLO US Equity,AUCTION FLOOR INC, , , , , , , 
ADNC US Equity,AUDIENCE INC,160123008,0,-17.3015,6.2436,-30502000,51086000,-8544000
AEYE US Equity,AUDIOEYE INC,14010028,0.5839,-42.3739,14.5181,-153828,448473,0
ARUZQ US Equity,AURASOUND INC,40764296,0,-0.8703,0.8477,269875,764904,-699970
AURZ US Equity,AURIOS INC, , , , , , , 
AHRO US Equity,AUTHENTIC HOLDINGS INC,622583,244.2055, ,0.1637, ,5789,-25899
AVSM US Equity,AVATAR SYSTEMS INC, , , , , , , 
AVNW US Equity,AVIAT NETWORKS INC,257800000,2.3274,-15.2988,1.578,-42100000,32400000,-6800000
AVID US Equity,AVID TECHNOLOGY INC,197206000,4.0567,9.4556,0.4731,24116000,91734000,-14287000
AVSR US Equity,AVISTAR COMMUNICATIONS CORP,3259000,276.1583,-137.0459,0.1697,-5221000,5410000,-135000
AVT US Equity,AVNET INC,10987245568,19.013,5.1326,1.9899,804150000, ,-134102000
AVX US Equity,AVX CORP,2412092928,0,6.1777,5.8952,194256000, ,-26804000
ACLS US Equity,AXCELIS TECHNOLOGIES INC,220543008,6.7175,-4.8305,5.5472,-10047000,34951000,-1048000
AXST US Equity,AXESSTEL INC,9233157,53.2212,-55.183,0.4757,-6246060, ,-25644
AXTI US Equity,AXT INC,163884992,1.1746,-1.4005,6.4413,-3877000,3719000,-2888000
AXTC US Equity,AXTIVE CORP,5055761,117.9607,-96.1445,0.0868,-2482785, ,-99000.0001
SCDA US Equity,B-SCADA INC, , , , , , , 
CUDA US Equity,BARRACUDA NETWORKS INC,399678016,1.1895,0.5794,1.2156,-2441000,51440000,-6862000
BRGS US Equity,BARRISTER GLOBAL SVCS NTWK,7673000,11.1951,-11.9478,1.3889,-1021000, ,-523000
BSSP US Equity,BASSLINE PRODUCTIONS INC,2344,9173.251, ,0.0069, , , 
1624250D US Equity,BAZAARVOICE INC,308840992,8.7424,-16.8301,1.2346,-38450000,38180000,-10648000
BLLI US Equity,BELL INDUSTRIES INC,29106000,59.0497,-0.2423,1.8181,1148000,0,-272000.002
BNEZ US Equity,BEN EZRA WEINSTEIN AND CO, , , , , , , 
BHE US Equity,BENCHMARK ELECTRONICS INC,1727991040,0.5597,7.6511,3.3979,131766000, ,-44304000
BNFT US Equity,BENEFITFOCUS INC,131695000,31.8744,-45.2544,1.6925,-54303000,37013000,-23385000
BGTK US Equity,BIG TOKEN INC, , , , , , , 
BSGC US Equity,BIGSTRING CORP,144798,178.8008,-139.9913,0.2002,-628194,627631,0
BKYI US Equity,BIO-KEY INTERNATIONAL INC,1191039,0,-243.2077,0.666,-2400214,1724049,-115320
BAZH US Equity,BIOAUTHORIZE HOLDINGS INC, , , , , , , 
BRGX US Equity,BIOREGENX INC, , , , , , , 
BTGN US Equity,BITCOIN GENERATION INC,103,611443.6875, ,0, , , 
BIZZ US Equity,BIZZINGO INC, , , , , , , 
BKTI US Equity,BK TECHNOLOGIES CORP,37639000,0.0611,5.0948,8.0823,2668000,0,-613000
9876577D US Equity,BK TECHNOLOGIES INC, , , , , , , 
BBBT US Equity,BLACK BIRD BIOTECH INC, , , , , , , 
BBOX US Equity,BLACK BOX CORP,706993984,22.8323,-15.489,2.0073,-118791000, ,-6761000
BLKB US Equity,BLACKBAUD INC,702984000,24.3452,5.213,0.6889,53397000,70451000,-15692000
BRTI US Equity,BLACKRIDGE TECHNOLOGY INTERN, , , , , , , 
BCDS US Equity,BLAQCLOUDS INC,38067880,0,-3.8366,297.2433,-1473631, ,0
BDRL US Equity,BLONDER TONGUE LABORATORIES,22402000,22.1364,-5.394,1.818,-972000,3536000,-561000
BKSD US Equity,BLUEPRINT TECHNOLOGIES INC, , , , , , , 
BOGN US Equity,BOGEN COMMUNICATIONS INTL,33390000,16.1725, ,1.2809, , , 
BAH US Equity,BOOZ ALLEN HAMILTON HOLDINGS,2829125888,58.1643,7.6646,1.4234,447277008, ,-23118000
BRRN US Equity,BORN INC, , , , , , , 
EPAY US Equity,BOTTOMLINE TECHNOLOGIES INC/,674656000,22.4506,-2.4786,2.9234,-746000,42999000,-15203000
BVTK US Equity,BRAVATEK SOLUTIONS INC,31825,4409.5962,-12493.5459,0.0139,-477852, ,0
BLIN US Equity,BRIDGELINE DIGITAL INC,33560000,22.4404,-17.622,0.9046,-5233000,2259000,-348000
BTSR US Equity,BRIGHTSTAR INFORMATION TECH,4813000,66.8398,-44.2698,0.387,-854000, ,0
BRCM US Equity,BROADCOM CORP-CL A,12215000064,13.0413,3.6503,2.9363,481000000,2486000000,-190000000
AVGO US Equity,BROADCOM INC,10490999808,52.5117,3.7825,3.7746,438000000,695000000,-409000000
BSFT US Equity,BROADSOFT INC,445529984,21.4641,-2.2271,2.8328,-3817000,49741000,-11025000
BVSN US Equity,BROADVISION INC,43462000,0,-19.4034,7.4516,-8114000,7189000,-32000
BRCD US Equity,BROCADE COMMUNICATIONS SYSTE,3733675008,15.9481,6.4709,2.8143,386112000,345549000,-54734000
BSQR US Equity,BSQUARE CORP,43942000,0,2.1724,2.4842,1221000,1766000,-276000
BTUI US Equity,BTU INTERNATIONAL INC,39255000,18.6346,-10.3071,2.4292,-3368000,4356000,-151000
BZWR US Equity,BUSINESS WARRIOR CORP,354000,14.1243, ,1.6226, , , 
BFBL US Equity,BUTTERFIELD BLAIR INC, , , , , , , 
RSVP US Equity,BYRON PREISS MULTIMEDIA CO,6664000,54.4268,-72.5108,0.3581,-1568000, , 
2326248D US Equity,CA INC,11372000256,15.503,7.071,1.286,1157000000,608000000,-64000000
CACI US Equity,CACI INTERNATIONAL INC -CL A,3320284928,36.449,4.5466,1.6869,256280000, ,-15620000
CDNS US Equity,CADENCE DESIGN SYS INC,2705940992,12.4804,4.9996,1.0429,169657000,583346992,-36937000
CSOC US Equity,CADUCEUS SOFTWARE SYSTEMS CO,0, , ,0,-116086, ,0
CNO CN Equity,CALIFORNIA NANOTECHNOLOGIES,711504,0,-38.6633,0.4332,-293600,32681,-44839
CALX US Equity,CALIX INC,360023008,0,-6.4558,2.7142,-25587000,78420000,-10993000
CALD US Equity,CALLIDUS SOFTWARE INC,161555008,7.4482,-9.8834,1.0493,-11630000,18997000,-5135000
CLWA US Equity,CALLWAVE INC,54374000,0,1.6942,10.6748,-8346999.9375,5218000,-906000
CBEX US Equity,CAMBEX CORP,314261,136.7153,76.2247,0.1059,-671331,850711,0
CTLP US Equity,CANTALOUPE INC,71474720,7.5975,50.2547,1.134,-359238, ,-10578476
CGSYQ US Equity,CAPITAL GROWTH SYSTEMS INC,29449000,0,3.4308,0.5953,-10062000, , 
CAPC US Equity,CAPSTONE COMPANIES INC,11062551,55.3582,8.5173,0.9469,1169952,380506,-44728
CBRJ US Equity,CARBON RACE CORP,7400,2400,-3488.4395,0,-1660000,0,-9000
CARB US Equity,CARBONITE INC,120604000,0,-3.4554,0.9199,-3629000,23011000,-13409000
CXCQ US Equity,CARDXX INC, , , , , , , 
CCLD US Equity,CARECLOUD INC,25440648,8.1301,-22.0937,1.1674,-3293602,491604, 
