Ticker,Name,Tot Assets LF,Debt/Assets LF,ROA LF,Curr Ratio LF,EBIT T12M,R&D Exp T12M,CAPEX T12M
 ,Investable Universe (1234),1210000000,4750,2992.1,2.95,174280000,122490000,-55900000
,,,,,,,,
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , 
DDD US Equity,3D SYSTEMS CORP,660518016,19.8653,7.4493,3.8063,53104000,19991000,-2477000
BARZ US Equity,5BARZ INTERNATIONAL INC,3673613,17.2579,-46.0756,0.0209,-1792365, , 
EGHT US Equity,8X8 INC,144719008,0,74.4304,3.9501,21862000,7654000,-5819000
ABBY US Equity,ABBY INC, , , , , , , 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , 
AECX US Equity,ACADIA ENERGY CORP, , , , , , , 
ACLP US Equity,ACCELPATH INC,3581001,45.165,-24.355,0.2717,-1771435,0,-51550
AWWC US Equity,ACCESS WORLDWIDE COMM INC,13061639,27.0163,-30.3457,1.0752,-3931561, , 
ASWE US Equity,ACCESSIBLE SOFTWARE INC, , , , , , , 
AKYI US Equity,ACCESSKEYIP INC,617201,833.5204, ,0.0785, , , 
ACMM US Equity,ACCOM INC,12334000,28.4904,-8.6624,1.0353,-1393000,6086000,-436000
ACIW US Equity,ACI WORLDWIDE INC,1220802048,31.5059,2.5141,1.106,35880000,120954000,-11390000
ACMA US Equity,ACM CORP, , , , , , , 
APKT US Equity,ACME PACKET INC,549622016,0,1.0702,8.647,14417000,62473000,-19658000
ACFN US Equity,ACORN ENERGY INC,70368000,0.8001,-15.6196,6.2854,-16366000,6179000,-777000
ACTA US Equity,ACTUA CORP,386196992,7.253,7.8469,1.8598,-16269000,15815000,-7427000
BIRT US Equity,ACTUATE CORP,182610000,0,8.2435,2.1601,23003000,23460000,-5169000
ADBE US Equity,ADOBE INC,9974522880,15.1201,8.7819,3.4058,1180191008,742823008,-271076000
ADTN US Equity,ADTRAN HOLDINGS INC,902257984,5.1537,8.7423,4.0667,94410000,117986000,-13140000
9990711D US Equity,ADTRAN INC, , , , , , , 
AMD US Equity,ADVANCED MICRO DEVICES,4611999744,44.2324,-18.0138,1.8103,-563000000,1399000000,-198000000
1806133D US Equity,ADVANCED PHOTONIX INC-CL A,22725000,12.462,-16.3867,2.0889,-4132000,5848000,-375000
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , 
ADVCD US Equity,ADVANT-E CORPORATION,8524013,0,24.3687,4.8189,2920285, ,-162077
ADVS US Equity,ADVENT SOFTWARE INC,564928000,8.1869,5.4441,1.1532,46567000,66442000,-8956000
AECS US Equity,AEC HOLDINGS CORP,468717,1.6001, ,90.44, , , 
AEHR US Equity,AEHR TEST SYSTEMS,12108000,11.9921,-30.4063,2.1185, , ,-61000
AGHC US Equity,AEON GLOBAL HEALTH CORP,14261000,26.7863,-76.1095,2.7528,-7759000,968000,-435000
AERS US Equity,AERIUS INC, , , , , , , 
ARX US Equity,AEROFLEX HOLDING CORP,1146616064,53.756,-5.0232,3.5489,-27383000,86365000,-21147000
AFTM US Equity,AFTERMASTER INC,704596,512.965,-437.1241,0.0142,-4794891, ,-89637
AGNUQ US Equity,AG&E HOLDINGS INC,22627000,9.7494,-1.4588,4.162,-498000, ,-116000
