Ticker,Name,Tot Assets LF,Debt/Assets LF,ROA LF,Curr Ratio LF,EBIT T12M,R&D Exp T12M,CAPEX T12M
 ,Investable Universe (981),3000000000,6370,3433.57,3.15,343290000,253900000,-123430000
,,,,,,,,
ONEM US Equity,1LIFE HEALTHCARE INC,1038305024,38.5817,-13.7291,7.3972,-87525000,0,-68284000
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , 
TTEZ US Equity,3AM TECHNOLOGIES INC,1394,0,-813.3281,0.0178,-41374, , 
DDD US Equity,3D SYSTEMS CORP,707281984,10.6766,-17.5783,2.0917,-124393000,72243000,-16735000
2448602D US Equity,6D GLOBAL TECHNOLOGIES INC,20871828,4.7517,-123.2981,2.688,-7994636,0,-273859
EGHT US Equity,8X8 INC,687244032,57.7398,-26.221,2.3068,-160180000,83086000,-66259000
ATEN US Equity,A10 NETWORKS INC,284096992,10.5531,3.9084,2.4316,10025000,57716000,-2950000
ABBY US Equity,ABBY INC,0, , ,0, , , 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , 
ACIA US Equity,ACACIA COMMUNICATIONS INC,831006016,2.8191,8.9575,4.5594,58236000,144676000,-13192000
AECX US Equity,ACADIA ENERGY CORP, , , , , , , 
ACNV US Equity,ACCELERA INNOVATIONS INC,5389,19511.5059,-21007.5527,0,-522445,0,0
AWWC US Equity,ACCESS WORLDWIDE COMM INC,13061639,27.0163,-30.3457,1.0752,-3931561, , 
ACIW US Equity,ACI WORLDWIDE INC,3132433920,41.7729,1.8847,1.4747,151450000,142776000,-18451000
ACMR US Equity,ACM RESEARCH INC-CLASS A,296619008,11.09,5.9538,2.6154,19909000,16543000,-3722000
ACFN US Equity,ACORN ENERGY INC,5372000,13.7007,-8.3012,0.915,-433000,592000,0
ADEA US Equity,ADEIA INC,2668695040,40.7418,-2.646,2.4772,-17023000,158330000,-3851000
ADBE US Equity,ADOBE INC,24284000256,19.3873,23.3539,1.4779,4237000064,2188000000,-419000000
ADTN US Equity,ADTRAN HOLDINGS INC,531415008,1.0385,-2.7644,3.0776,-20519000,116448000,-8568000
9990711D US Equity,ADTRAN INC, , , , , , , 
AMD US Equity,ADVANCED MICRO DEVICES,7023000064,8.2301,14.3206,2.2755,1147000000,1805000000,-262000000
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , 
ADVCD US Equity,ADVANT-E CORPORATION,6177458,0,30.7908,3.0582,3031419, ,-113069
AEHR US Equity,AEHR TEST SYSTEMS,18691000,20.2343,-11.2094,3.827,-4523000,3394000,-160000
AGHC US Equity,AEON GLOBAL HEALTH CORP,3911096,79.6099,-107.1503,0.3585,-2950074,0,-10510
AERS US Equity,AERIUS INC, , , , , , , 
AFTM US Equity,AFTERMASTER INC,768950,1010.3602,-1944.3494,0.02,-2921285,0,0
AIFS US Equity,AGENT INFORMATION SOFTWARE I,6267114,0, ,1.5481, , , 
AGILQ US Equity,AGILETHOUGHT INC,81305152,0, ,2.5308, , , 
AGYS US Equity,AGILYSYS INC,173714000,8.4035,-14.3546,2.5241,-24007000,37140000,-1951000
AJX CN Equity,AGJUNCTION INC,34542000,2.29,-15.84,3.8473,-6305000,3854000,-2282000
AIRG US Equity,AIRGAIN INC,54249000,0,-3.9053,7.5125,-2198000,8918000,-904000
MIMOQ US Equity,AIRSPAN NETWORKS HOLDINGS IN,125000,80, ,1.2443, , , 
2554116D US Equity,AIRSPAN NETWORKS INC,69911000,20.3158,-54.1265,1.477,-37559000,24136000,-1938000
AKAM US Equity,AKAMAI TECHNOLOGIES INC,7514393088,36.0463,8.1141,3.1281,659238992,270985000,-698093000
AKTSQ US Equity,AKOUSTIS TECHNOLOGIES INC,64346000,36.5322,-73.339,9.3981,-34685000,21824000,-10477000
ALAN US Equity,ALANCO TECHNOLOGIES INC,3407200,22.0122,-51.0261,0.0245,-1750100,0,-5000
ALMY US Equity,ALCHEMY CREATIVE INC, , , , , , , 
RIME US Equity,ALGORHYTHM HOLDINGS INC,31567252,14.0357,-1.1639,1.3395,-1334401,28000,-389335
ALJJ US Equity,ALJ REGIONAL HOLDINGS INC/OL,190244000,53.8251,-32.1171,1.3634,-59388000,0,-9550000
ADGL US Equity,ALLDIGITAL HOLDINGS INC,1516803,146.259,-163.3461,1.4001,-1807460,0, 
ALGM US Equity,ALLEGRO MICROSYSTEMS INC,779699008,4.2324, ,3.3123, , , 
ADSV US Equity,ALLIED SECURITY INNOVATIONS,835739,1274.8563,173.4423,0.0195,-296084,90271,0
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,811747968,25.4243,0.2522,1.6719,-2989000,53575000,-57937000
ALTR US Equity,ALTAIR ENGINEERING INC - A,779702976,32.1702,-1.8979,2.4069,8539000,121613000,-5546000
AYX US Equity,ALTERYX INC - CLASS A,1356472960,57.5304,-1.2113,4.0291,10469000,116829000,-19550000
ATGN US Equity,ALTIGEN COMMUNICATIONS INC,18375000,0,10.4774,2.4597,1971000,2597000,-4995000
AMBA US Equity,AMBARELLA INC,549555008,1.7234,-11.33,7.6526,-60985000,137382000,-1925000
DOX US Equity,AMDOCS LTD,6341621248,16.2923,8.558,1.7058,594758000,282042000,-205510000
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, , , , , , , 
AGIN US Equity,AMERICAN GRAPHITE TECHNOLOGI,17842,0,-176.8604,0.5609,-480270,0,0
AMWK US Equity,AMERISTAR NETWORK INC, , , , , , , 
ATVK US Equity,AMERITEK VENTURES,13356,3233.1462,-1140.2648,0.0178,-411421,0,0
AMST US Equity,AMESITE INC,18160964,0,-77.055,10.4903,-4599366, ,-26626
AMJT US Equity,AMJ GLOBAL TECHNOLOGY,21700,5.4286, ,18.4211, , , 
AMKR US Equity,AMKOR TECHNOLOGY INC,5136620032,28.5178,6.51,1.6494,416451000,132395000,-419467008
AMPG US Equity,AMPLITECH GROUP INC,3322445,72.9901,-15.0337,1.9609,-402526,97590,-24210
ASYS US Equity,AMTECH SYSTEMS INC,102098000,10.153,-13.7574,10.2406,-485000,5748000,-12101000
PLAN US Equity,ANAPLAN INC,678107008,8.0996,-22.9281,1.3866,-149901000,93419000,-6779000
ANDI US Equity,ANDIAMO CORP, , , , , , , 
ANDR US Equity,ANDREA ELECTRONICS CORP,1194215,202.4871,-52.5971,2.3437,-612566,575954,-5989
ANSS US Equity,ANSYS INC,4846295040,11.2643,9.1147,2.5963,422681000,338013000,-43354000
ATEX US Equity,ANTERIX INC,246620992,3.1567,-19.6249,18.3095,-51135000,2949000,-368000
APPF US Equity,APPFOLIO INC - A,386272000,9.003,52.6831,3.5948,12624000,47880000,-20550000
APGTQ US Equity,APPGATE INC, , , , , , , 
APPN US Equity,APPIAN CORP-A,492456000,12.3991,-9.3369,2.8783,-41278000,66991000,-2027000
AAPL US Equity,APPLE INC,323887988736,37.7532,17.3341,1.3636,66288000000,18752000000,-7308999936
AMAT US Equity,APPLIED MATERIALS INC,22353000448,25.5312,17.4928,2.9982,4365000064,2234000000,-422000000
AAOI US Equity,APPLIED OPTOELECTRONICS INC,497787008,31.9335,-16.3891,1.7377,-47735000,43164000,-14940000
AUVIQ US Equity,APPLIED UV INC,4769387,16.6397,71.0893,1.2633,1403604,0,-12999
ALDS US Equity,APPLIFE DIGITAL SOLUTIONS IN,551684,142.1935,-595.1537,0.5921,-3360710,0,0
ASFT US Equity,APPSOFT TECHNOLOGIES INC,629,32181.2402,-5290.9199,0.0002,-40846,0,0
2054374D US Equity,APPYEA INC/SD, , , , , , , 
APTY US Equity,APT SYSTEMS INC,145430,132.1983,-765.4672,0.1179,-453354,0,0
AHCD US Equity,ARCHIVALCD INC, , , , , , , 
ASNT US Equity,ARIAS INTEL CORP, , , , , , , 
ANET US Equity,ARISTA NETWORKS INC,4399371776,1.7026,17.7646,5.4963,681034992,462810000,-10133000
ARLO US Equity,ARLO TECHNOLOGIES INC,388899008,7.8169,-16.283,1.5556,-67397000,61799000,-3711000
3664 TT Equity,ARRAY INC,954974016,10.5196,-9.5841,3.1352,-79766000,105788000,-9154000
ARRAF US Equity,ARRIA NLG PLC,27607000,18.3468,-47.048,1.9304,-10518000,827000,-74000
ARW US Equity,ARROW ELECTRONICS INC,15496633344,14.6088,2.9524,1.4732,811206992,0,-119666000
ARTD US Equity,ARTISTDIRECT INC,4196000,65.1811,-124.7979,0.6119,-5697000,398000,-101000
ASAN US Equity,ASANA INC - CL A,673985024,74.5387, ,3.0988,-149905000,101425000, 
ASGN US Equity,ASGN INC,3211599872,35.322,6.0961,2.4004,309500000,0,-38200000
2061517D US Equity,ASPEN TECHNOLOGY INC,1255979008,36.7934,18.3408,2.8884,235689000,92267000,-1793000
APYI US Equity,ASPYRA INC,14632753,31.427,-41.6156,0.1914,-4616055,1782590,-38817
ASTO US Equity,ASTRO COMMUNICATIONS INC, , , , , , , 
ALOT US Equity,ASTRONOVA INC,113309000,17.0993,-0.7679,3.1841,-361000,7061000,-2586000
ASUR US Equity,ASURE SOFTWARE INC,372726016,8.4043,8.684,1.0022,-59548000, ,-4541000
ATYG US Equity,ATLAS TECHNOLOGY GROUP INC,2278610,0,-367.6791,0.0819,-3689078,1380491, 
ATOM US Equity,ATOMERA INC,26763000,2.7015,-63.5484,18.1986,-14149000,8015000,-56000
AEYE US Equity,AUDIOEYE INC,17710000,4.4551,-41.7559,1.9026,-5684191,1000654,-10136
AHRO US Equity,AUTHENTIC HOLDINGS INC,453824,256.8738,-608.7382,0.086,-666311,0,-18500
AUID US Equity,AUTHID INC,11279745,57.2113,-94.3775,0.381,-10775604,2175145,-8643
AVLR US Equity,AVALARA INC,1426412032,4.6606,-4.692,3.9922,-57621000,110872000,-8658000
AVYAQ US Equity,AVAYA HOLDINGS CORP,6231000064,49.4463,-10.3179,1.3887,-455000000,207000000,-98000000
AVPT US Equity,AVEPOINT INC,352955712,0,2.2739,10.5015,-1192962, ,0
AVNW US Equity,AVIAT NETWORKS INC,176772992,1.7955,3.4771,1.6409,8424000,18915000,-4324000
AVID US Equity,AVID TECHNOLOGY INC,261402000,93.1867,7.3329,1.0751,36448000,58134000,-7175000
AVSR US Equity,AVISTAR COMMUNICATIONS CORP,3259000,276.1583,-137.0459,0.1697,-5221000,5410000,-135000
AVT US Equity,AVNET INC,8381394944,20.0916,-1.0607,2.3866,-48863000,0,-63650000
ACLS US Equity,AXCELIS TECHNOLOGIES INC,590656000,8.9536,8.0312,6.2806,57178000,59109000,-6472000
AXTI US Equity,AXT INC,232736992,2.6708,-0.3885,4.0972,-779000,6580000,-19944000
AXTC US Equity,AXTIVE CORP,5055761,117.9607,-96.1445,0.0868,-2482785, ,-99000.0001
SCDA US Equity,B-SCADA INC, , , , , , , 
BAND US Equity,BANDWIDTH INC-CLASS A,670432000,44.4912,-5.2466,10.2145,-4749000,37465000,-21304000
BRGS US Equity,BARRISTER GLOBAL SVCS NTWK,7673000,11.1951,-11.9478,1.3889,-1021000, ,-523000
BSSP US Equity,BASSLINE PRODUCTIONS INC,10952,3447.3521, ,0.0014, , , 
BLLI US Equity,BELL INDUSTRIES INC,29106000,59.0497,-0.2423,1.8181,1148000,0,-272000.002
BHE US Equity,BENCHMARK ELECTRONICS INC,1734507008,14.0563,-0.0327,2.6369,3996000,0,-36351000
BNFT US Equity,BENEFITFOCUS INC,356712000,75.3179,-9.107,3.6141,-9913000,47337000,-12383000
BSY US Equity,BENTLEY SYSTEMS INC-CLASS B,1090497024,58.4841,11.0888,0.8026, , , 
BGTK US Equity,BIG TOKEN INC, , , , , , , 
BIGC US Equity,BIGCOMMERCE HOLDINGS-SER 1,235502000,16.2924, ,4.0574,-34650000,45351000,-1631000
BSGC US Equity,BIGSTRING CORP,144798,178.8008,-139.9913,0.2002,-628194,627631,0
BILL US Equity,BILL HOLDINGS INC,2479207936,2.3281,-1.8519,1.4078,-41695000,59676000,-16123000
BKYI US Equity,BIO-KEY INTERNATIONAL INC,24000568,3.2929,-102.1575,10.4323,-12915692,1342876,-6094
BRGX US Equity,BIOREGENX INC, , , , , , , 
BTGN US Equity,BITCOIN GENERATION INC,103,611443.6875, ,0, , , 
BKTI US Equity,BK TECHNOLOGIES CORP,34986000,10.5013,-5.6028,2.8916,-2224000,7100000,-896000
