Ticker,Name,Tot Assets LF,Debt/Assets LF,ROA LF,Curr Ratio LF,EBIT T12M,R&D Exp T12M,CAPEX T12M
 ,Investable Universe (1373),805700000,4960,-607.14,2.55,104310000,83910000,-22740000
,,,,,,,,
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , 
TOTG US Equity,2-TRACK GLOBAL INC,196754,195.6514,-242.4285,0.0507,-860072,334693,-5157
DDD US Equity,3D SYSTEMS CORP,170848992,4.8639,8.7465,2.1794,15663000,10490000,-1341000
BARZ US Equity,5BARZ INTERNATIONAL INC,1183,0,-363.9553,0.043,-14739, ,0
EGHT US Equity,8X8 INC,25756000,0,21.2529,1.9523,4957000,5044000,-1472000
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , 
ABVT US Equity,ABOVENET INC,908600000,5.6901,33.318,2.1015,106000000, ,-126700000
AFTI US Equity,ABSOLUTE FUTURE.COM, , , , , , , 
AECX US Equity,ACADIA ENERGY CORP, , , , , , , 
ACLP US Equity,ACCELPATH INC,10581903,0,1.5113,2.6397,-511994,130134,-4600
AWWC US Equity,ACCESS WORLDWIDE COMM INC,13061639,27.0163,-30.3457,1.0752,-3931561, , 
ASWE US Equity,ACCESSIBLE SOFTWARE INC, , , , , , , 
AKYI US Equity,ACCESSKEYIP INC,617201,833.5204, ,0.0785, , , 
ACMM US Equity,ACCOM INC,12334000,28.4904,-8.6624,1.0353,-1393000,6086000,-436000
ACIW US Equity,ACI WORLDWIDE INC,581393024,12.9001,3.4659,0.9908,45819000,73889000,-4853000
APKT US Equity,ACME PACKET INC,329747008,0,13.5182,6.4427,50921000,33920000,-11629000
ACFN US Equity,ACORN ENERGY INC,73916000,2.6611,-24.0861,1.5214,-16621000, ,-9000000
ACTA US Equity,ACTUA CORP,279716000,7.5745,28.3437,4.0761,-11092000,9395000,-3775000
BIRT US Equity,ACTUATE CORP,181508992,22.0375,6.7534,1.8565,18222000,23585000,-935000
ADBE US Equity,ADOBE INC,8141148160,18.7008,10.0455,3.011,993073984,680332000,-169642000
ADTN US Equity,ADTRAN HOLDINGS INC,657704000,7.2601,15.9321,6.1425,135243000,89094000,-9405000
9990711D US Equity,ADTRAN INC, , , , , , , 
AATI US Equity,ADVANCED ANALOGIC TECHNOLOGI,144804992,0,-8.9426,6.4818,-16450000,30766000,-2259000
AMD US Equity,ADVANCED MICRO DEVICES,4594999808,52.1654,19.4274,1.9291,1723000000,1485000000,-284000000
ADOT US Equity,ADVANCED OPTICS ELECTRONICS,397563,24.368,-308.0383,0.0519,-3969875,845936,-3733
1806133D US Equity,ADVANCED PHOTONIX INC-CL A,24668000,23.7109,-11.224,1.3179,-2837000,5099000,-486000
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , 
ADVCD US Equity,ADVANT-E CORPORATION,6777452,0,21.4849,2.4592,2164258, ,-148798
ADVS US Equity,ADVENT SOFTWARE INC,461030016,0,7.4802,1.0936,31005000,51152000,-16710000
AECS US Equity,AEC HOLDINGS CORP,468717,1.6001, ,90.44, , , 
AGSI US Equity,AEGIS ASSESSMENTS INC,5591638,10.2621,-94.0147,0.1685,-1929593,0,-38272
AEHR US Equity,AEHR TEST SYSTEMS,12822000,0,-21.7109,4.9497,-6893000,4958000,-69000
AGHC US Equity,AEON GLOBAL HEALTH CORP,18591000,0,-42.6615,1.6398,-8597000,1767000,-340000
AERS US Equity,AERIUS INC, , , , , , , 
ARX US Equity,AEROFLEX HOLDING CORP,1337453952,66.0077, ,2.5641, , , 
AFFI US Equity,AFFINITY TECHNOLOGY GROUP,59384,5288.7412,-508.7891,0.0108,-812050, ,0
AFTM US Equity,AFTERMASTER INC,3121776,12.2412,-219.6342,0.313,-5184203, ,-1332223
AGNUQ US Equity,AG&E HOLDINGS INC,23058000,3.5866,2.7885,3.2103,689000, ,-147000
AIFS US Equity,AGENT INFORMATION SOFTWARE I, , , , , , , 
AGYS US Equity,AGILYSYS INC,359720000,0.4148,0.2624,1.5716,-7698000, ,-10999000
AJX CN Equity,AGJUNCTION INC,88690456,0.3226,-8.0878,3.7853,-7525754,9998239,-693830
ANSE US Equity,AINSLIE CORP, , , , , , , 
ABEW US Equity,AIRBEE WIRELESS INC,413314,807.7118,-683.6893,0.0288,-4387731,115564,-61278
2554116D US Equity,AIRSPAN NETWORKS INC,69911000,20.3158,-54.1265,1.477,-37559000,24136000,-1938000
2371225D US Equity,AIRTOUCH COMMUNICATIONS INC, , , , , , , 
ASYI US Equity,AISYSTEMS INC, , , , , , , 
AKAM US Equity,AKAMAI TECHNOLOGIES INC,2262752000,2.5907,7.4003,4.2543,244153000,53511000,-172589000
ALAN US Equity,ALANCO TECHNOLOGIES INC,18420100,23.0563,-42.0118,0.5711,-2420900, ,-29800
ALMY US Equity,ALCHEMY CREATIVE INC, , , , , , , 
RIME US Equity,ALGORHYTHM HOLDINGS INC,10609533,0.1286,-12.9701,0.8855,-1297584, ,-252899
EDGW US Equity,ALITHYA USA INC,48738000,0.5129,-45.0202,1.8263,-3258000, ,-358000
SEMIQ US Equity,ALL AMERICAN SEMICONDUCTOR,184841008,52.8876,-1.5045,2.5945,2831000, ,-1805000
ADGL US Equity,ALLDIGITAL HOLDINGS INC, , , , , , , 
AFOP US Equity,ALLIANCE FIBER OPTIC PRODUCT,66116000,0.5112,7.7652,5.3369,4530000,3221000,-3301000
ADSV US Equity,ALLIED SECURITY INNOVATIONS,835739,1274.8563,173.4423,0.0195,-296084,90271,0
AGMB US Equity,ALONG MOBILE TECHNOLOGIES IN,19858758,0,33.41,6.7664,5575886, ,-6706470
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,274329984,1.9214, ,2.625, , , 
1541931D US Equity,ALTERA CORP,3351450112,14.9189,23.7976,4.439,724492984,264801000,-8149000
ATGN US Equity,ALTIGEN COMMUNICATIONS INC,10361000,0,-15.7385,1.8234,-1781000,4577000,-4995000
ABHI US Equity,AMBICOM HOLDINGS INC, , , , , , , 
DOX US Equity,AMDOCS LTD,4820603904,4.1489,7.5179,2.1987,410433000,207836000,-87157000
AANI US Equity,AMEDIA NETWORKS INC, , , , , , , 
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, , , , , , , 
ASVPQ US Equity,AMERICAN TONERSERVE CORP, , , , , , , 
AMWK US Equity,AMERISTAR NETWORK INC, , , , , , , 
INSF US Equity,AMETEK CTS US INC, , , , , , , 
AMKR US Equity,AMKOR TECHNOLOGY INC,2821903872,48.9039,10.2583,1.2603,397396000,47344000,-382920000
AMLJ US Equity,AML COMMUNICATIONS INC,18650000,4.5362,7.7949,5.5965,2160000,2125000,-390000
ASYS US Equity,AMTECH SYSTEMS INC,136100992,0.1161,8.3682,2.2912,15912000,2118000,-3094000
ANLY US Equity,ANALYSTS INTERNATIONAL CORP,25275000,0,-14.8501,2.3019,-3748999.875, ,-268000
ANDI US Equity,ANDIAMO CORP, , , , , , , 
ANDR US Equity,ANDREA ELECTRONICS CORP,6022702,1.7452,2.5415,5.1491,107779,690850,-223173
AGCI US Equity,ANGELCITI ENTERTAINMENT INC,164667,0,-17.529,0,-30505, ,0
AGMS US Equity,ANGSTROM MICROSYSTEMS CORP,2206079,3.7371,-155.4397,0.127,-1699051, ,0
ANSS US Equity,ANSYS INC,2118482048,7.7835,7.1324,1.9305,214239000,86128000,-11047000
ANTS US Equity,ANTS SOFTWARE INC,31172718,6.7748,-94.5776,0.6352,-12498123,3042299,-75139
APHG US Equity,AP HENDERSON GROUP,30319,0, ,0.0228, , , 
APGTQ US Equity,APPGATE INC, , , , , , , 
