Ticker,Name,Tot Assets LF,Debt/Assets LF,ROA LF,Curr Ratio LF,EBIT T12M,R&D Exp T12M,CAPEX T12M
 ,Investable Universe (1207),1320000000,5060,3117.74,2.86,171330000,140640000,-58850000
,,,,,,,,
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , 
DDD US Equity,3D SYSTEMS CORP,1063481984,1.7723,5.0806,5.1851,81051000,34721000,-7050000
BARZ US Equity,5BARZ INTERNATIONAL INC,4739496,22.9957,-53.2329,0.0544,-2756567, ,-6191
EGHT US Equity,8X8 INC,161898000,0,5.1863,5.0191,11915000,9267000,-3056000
ABBY US Equity,ABBY INC,0, , ,0, , , 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , 
AECX US Equity,ACADIA ENERGY CORP, , , , , , , 
ACLP US Equity,ACCELPATH INC,228926,237.4802,-39.1828,0.0637,-1606012,0,-54000
AWWC US Equity,ACCESS WORLDWIDE COMM INC,13061639,27.0163,-30.3457,1.0752,-3931561, , 
ASWE US Equity,ACCESSIBLE SOFTWARE INC, , , , , , , 
ACMM US Equity,ACCOM INC,12334000,28.4904,-8.6624,1.0353,-1393000,6086000,-436000
ACIW US Equity,ACI WORLDWIDE INC,1601495040,47.7212,4.4744,1.6102,112603000,142768000,-14500000
ACMA US Equity,ACM CORP, , , , , , , 
ACFN US Equity,ACORN ENERGY INC,42397000,2.8587,-53.4421,2.6762,-31746000,8155000,-2878000
ACTA US Equity,ACTUA CORP,407855008,3.1881,5.9291,2.7435,-31579000,12014000,-6931000
BIRT US Equity,ACTUATE CORP,193010000,0.4528,3.3678,2.0875,9954000,25692000,-1042000
1437361D US Equity,ADEIA MEDIA SOLUTIONS INC,1338913024,12.8836,24.3612,4.75,90159000,106623000,-7263000
ADBE US Equity,ADOBE INC,10380298240,14.5851,2.8401,2.6519,422723000,826630992,-188358000
ADTN US Equity,ADTRAN HOLDINGS INC,832984000,5.5823,4.37,3.389,40700000,131230000,-7826000
9990711D US Equity,ADTRAN INC, , , , , , , 
AMD US Equity,ADVANCED MICRO DEVICES,4317000192,47.4635,-14.4473,1.668,-454000000,1221000000,-85000000
